Source,Target,Type,Id,Label,timeset
Galeocerdo cuvier,Iguana iguana,Directed,,eats,
Reptilian orthoreovirus,Iguana iguana,Directed,,pathogenOf,
European catfish virus,Iguana iguana,Directed,,pathogenOf,
Venezuelan equine encephalitis virus,Iguana iguana,Directed,,pathogenOf,
Salmonella enterica subsp. arizonae,Iguana iguana,Directed,,pathogenOf,
Neisseria iguanae,Iguana iguana,Directed,,pathogenOf,
Burkholderia pseudomallei,Iguana iguana,Directed,,pathogenOf,
Campylobacter iguaniorum,Iguana iguana,Directed,,pathogenOf,
Salmonella enterica subsp. houtenae,Iguana iguana,Directed,,pathogenOf,
Salmonella enterica subsp. diarizonae,Iguana iguana,Directed,,pathogenOf,
Mycoplasma iguanae,Iguana iguana,Directed,,pathogenOf,
Chlamydia pneumoniae,Iguana iguana,Directed,,pathogenOf,
Chlamydophila felis,Iguana iguana,Directed,,pathogenOf,
Boa imperator,Iguana iguana,Directed,,preysOn,
Trachemys scripta,Iguana iguana,Directed,,eats,
Buteo lineatus,Iguana iguana,Directed,,preysOn,
Buteo platypterus,Iguana iguana,Directed,,preysOn,
Crocodylus acutus,Iguana iguana,Directed,,eats,
Elanoides forficatus,Iguana iguana,Directed,,eats,
Eunectes murinus,Iguana iguana,Directed,,eats,
Trachemys stejnegeri,Iguana iguana,Directed,,eats,
Boa imperator,Iguana iguana,Directed,,eats,
Buteo plagiatus,Iguana iguana,Directed,,preysOn,
Caracara plancus,Iguana iguana,Directed,,eats,
Falco sparverius,Iguana iguana,Directed,,preysOn,
Glaucidium brasilianum,Iguana iguana,Directed,,preysOn,
Glaucidium brasilianum,Iguana iguana,Directed,,eats,
Loxocemus bicolor,Iguana iguana,Directed,,preysOn,
Enulius flavitorques,Iguana iguana,Directed,,preysOn,
Corallus grenadensis,Iguana iguana,Directed,,preysOn,
Rhinobothryum lentiginosum,Iguana iguana,Directed,,preysOn,
Oxybelis fulgidus,Iguana iguana,Directed,,preysOn,
Siphlophis compressus,Iguana iguana,Directed,,preysOn,
Borikenophis portoricensis,Iguana iguana,Directed,,preysOn,
Plasmodium rhadinurum,Iguana iguana,Directed,,hasHost,
Ozolaimus cirratus,Iguana iguana,Directed,,hasHost,
Oxyuris iguanae,Iguana iguana,Directed,,hasHost,
Alaeuris vogelsangi,Iguana iguana,Directed,,hasHost,
Ozolaimus monhystera,Iguana iguana,Directed,,hasHost,
Alaeuris hirsutus,Iguana iguana rhinolopha,Directed,,hasHost,
Ozolaimus megatyphlon,Iguana iguana,Directed,,hasHost,
Plasmodium minasense,Iguana iguana,Directed,,hasHost,
Amblyomma dissimile,Iguana iguana,Directed,,hasHost,
Amblyomma sabanerae,Iguana iguana,Directed,,hasHost,
TRICHOSOMA =CAPILLARIA IGUANAE,Iguana iguana,Directed,,parasiteOf,
Plasmodium rhadinurum,Iguana iguana,Directed,,parasiteOf,
Oxyuris iguanae,Iguana iguana,Directed,,parasiteOf,
Ozolaimus megatyphlon,Iguana iguana,Directed,,parasiteOf,
Ozolaimus cirratus,Iguana iguana,Directed,,parasiteOf,
Ozolaimus monhystera,Iguana iguana,Directed,,parasiteOf,
Alaeuris hirsutus,Iguana iguana rhinolopha,Directed,,parasiteOf,
Amblyomma rotundatum,Iguana iguana,Directed,,parasiteOf,
Amblyomma testudinis,Iguana iguana,Directed,,parasiteOf,
Alaeuris vogelsangi,Iguana iguana,Directed,,parasiteOf,
Chrysosporium guarroi,Iguana iguana,Directed,,hasHost,
Mycoplasma iguanae,Iguana iguana,Directed,,hasHost,
Mycoplasma insons,Iguana iguana,Directed,,hasHost,
Chlamydophila pneumoniae,Iguana iguana,Directed,,hasHost,
Cryptosporidium parvum,Iguana iguana,Directed,,hasHost,
Amblyomma scutatum,Iguana iguana,Directed,,hasHost,
Reptilian orthoreovirus,Iguana iguana,Directed,,hasHost,
Chlamydophila felis,Iguana iguana,Directed,,hasHost,
Iguana iguana,Asystasia gangetica,Directed,,eats,
Iguana iguana,Genipa americana,Directed,,eats,
Iguana iguana,Pseudobombax ellipticum,Directed,,eats,
Iguana iguana,Schefflera morototoni,Directed,,eats,
Iguana iguana,Tapirira guianensis,Directed,,eats,
Galeocerdo cuvier,Galeocerdo cuvier,Directed,,eats,
Pseudoterranova decipiens,Galeocerdo cuvier,Directed,,parasiteOf,
Porrocaecum bengalensis,Galeocerdo cuvier,Directed,,parasiteOf,
Terranova nidifex,Galeocerdo cuvier,Directed,,parasiteOf,
Terranova brevicapitata,Galeocerdo cuvier,Directed,,parasiteOf,
Terranova galeocerdonis,Galeocerdo cuvier,Directed,,parasiteOf,
Porrocaecum longispiculum,Galeocerdo cuvier,Directed,,parasiteOf,
Thysanocephalum thysanocephalum,Galeocerdo cuvier,Directed,,parasiteOf,
Pterobothrium heteracanthum,Galeocerdo cuvier,Directed,,parasiteOf,
Platybothrium spinulifera,Galeocerdo cuvier,Directed,,parasiteOf,
Dicranobothrium spinulifera,Galeocerdo cuvier,Directed,,parasiteOf,
Grillotiella exile,Galeocerdo cuvier,Directed,,parasiteOf,
Thysanocephalum crispum,Galeocerdo cuvier,Directed,,hasHost,
Thysanocephalum thysanocephalum,Galeocerdo cuvier,Directed,,hasHost,
Terranova nidifex,Galeocerdo cuvier,Directed,,hasHost,
Orygmatobothrium paulum,Galeocerdo cuvier,Directed,,hasHost,
Pseudoterranova decipiens,Galeocerdo cuvier,Directed,,hasHost,
Otobothrium cysticum,Galeocerdo cuvier,Directed,,hasHost,
Grillotiella exile,Galeocerdo cuvier,Directed,,hasHost,
Thysanocephalum rugosum,Galeocerdo cuvier,Directed,,hasHost,
Monorygma galeocerdonis,Galeocerdo cuvier,Directed,,hasHost,
Paraorygmatobothrium paulum,Galeocerdo cuvier,Directed,,hasHost,
Platybothrium spinulifera,Galeocerdo cuvier,Directed,,hasHost,
Thysanocephalum rugosum,Galeocerdo cuvier,Directed,,parasiteOf,
Thysanocephalum crispum,Galeocerdo cuvier,Directed,,parasiteOf,
Orygmatobothrium paulum,Galeocerdo cuvier,Directed,,parasiteOf,
Otobothrium cysticum,Galeocerdo cuvier,Directed,,parasiteOf,
TETRARHYNCHUS BISULCATUS,Galeocerdo cuvier,Directed,,parasiteOf,
Paraorygmatobothrium paulum,Galeocerdo cuvier,Directed,,parasiteOf,
Galeocerdo cuvier,Abudefduf saxatilis,Directed,,preysOn,
Galeocerdo cuvier,Abudefduf saxatilis,Directed,,eats,
Galeocerdo cuvier,Abudefduf taurus,Directed,,eats,
Galeocerdo cuvier,Acanthostracion polygonius,Directed,,preysOn,
Galeocerdo cuvier,Acanthostracion polygonius,Directed,,eats,
Galeocerdo cuvier,Acanthostracion quadricornis,Directed,,eats,
Galeocerdo cuvier,Acanthurus bahianus,Directed,,preysOn,
Galeocerdo cuvier,Acanthurus bahianus,Directed,,eats,
Galeocerdo cuvier,Acanthurus chirurgus,Directed,,eats,
Galeocerdo cuvier,Acanthurus coeruleus,Directed,,preysOn,
Galeocerdo cuvier,Acanthurus coeruleus,Directed,,eats,
Galeocerdo cuvier,Aetobatus narinari,Directed,,preysOn,
Galeocerdo cuvier,Aetobatus narinari,Directed,,eats,
Galeocerdo cuvier,Alphestes afer,Directed,,preysOn,
Galeocerdo cuvier,Alphestes afer,Directed,,eats,
Galeocerdo cuvier,Aluterus schoepfii,Directed,,preysOn,
Galeocerdo cuvier,Aluterus schoepfii,Directed,,eats,
Galeocerdo cuvier,Aluterus scriptus,Directed,,preysOn,
Galeocerdo cuvier,Aluterus scriptus,Directed,,eats,
Galeocerdo cuvier,Anisotremus surinamensis,Directed,,preysOn,
Galeocerdo cuvier,Anisotremus surinamensis,Directed,,eats,
Galeocerdo cuvier,Anisotremus virginicus,Directed,,preysOn,
Galeocerdo cuvier,Anisotremus virginicus,Directed,,eats,
Galeocerdo cuvier,Archosargus rhomboidalis,Directed,,preysOn,
Galeocerdo cuvier,Archosargus rhomboidalis,Directed,,eats,
Galeocerdo cuvier,Ariopsis felis,Directed,,eats,
Galeocerdo cuvier,Aulostomus maculatus,Directed,,preysOn,
Galeocerdo cuvier,Aulostomus maculatus,Directed,,eats,
Galeocerdo cuvier,Bagre marinus,Directed,,eats,
Galeocerdo cuvier,Bathynomus giganteus,Directed,,eats,
Galeocerdo cuvier,Bathynomus giganteus,Directed,,preysOn,
Galeocerdo cuvier,Bodianus rufus,Directed,,preysOn,
Galeocerdo cuvier,Bodianus rufus,Directed,,eats,
Galeocerdo cuvier,Bothus lunatus,Directed,,preysOn,
Galeocerdo cuvier,Bothus lunatus,Directed,,eats,
Galeocerdo cuvier,Bothus ocellatus,Directed,,preysOn,
Galeocerdo cuvier,Bothus ocellatus,Directed,,eats,
Galeocerdo cuvier,Calamus bajonado,Directed,,preysOn,
Galeocerdo cuvier,Calamus bajonado,Directed,,eats,
Galeocerdo cuvier,Calamus calamus,Directed,,preysOn,
Galeocerdo cuvier,Calamus calamus,Directed,,eats,
Galeocerdo cuvier,Calamus pennatula,Directed,,preysOn,
Galeocerdo cuvier,Calamus pennatula,Directed,,eats,
Galeocerdo cuvier,Canis lupus familiaris,Directed,,eats,
Galeocerdo cuvier,Cantherhines macrocerus,Directed,,preysOn,
Galeocerdo cuvier,Cantherhines macrocerus,Directed,,eats,
Galeocerdo cuvier,Cantherhines pullus,Directed,,preysOn,
Galeocerdo cuvier,Cantherhines pullus,Directed,,eats,
Galeocerdo cuvier,Canthidermis sufflamen,Directed,,preysOn,
Galeocerdo cuvier,Canthidermis sufflamen,Directed,,eats,
Galeocerdo cuvier,Carangoides bartholomaei,Directed,,preysOn,
Galeocerdo cuvier,Carangoides bartholomaei,Directed,,eats,
Galeocerdo cuvier,Caranx latus,Directed,,eats,
Galeocerdo cuvier,Caranx ruber,Directed,,preysOn,
Galeocerdo cuvier,Caranx ruber,Directed,,eats,
Galeocerdo cuvier,Carcharhinus acronotus,Directed,,preysOn,
Galeocerdo cuvier,Carcharhinus acronotus,Directed,,eats,
Galeocerdo cuvier,Carcharhinus falciformis,Directed,,preysOn,
Galeocerdo cuvier,Carcharhinus falciformis,Directed,,eats,
Galeocerdo cuvier,Carcharhinus leucas,Directed,,preysOn,
Galeocerdo cuvier,Carcharhinus leucas,Directed,,eats,
Galeocerdo cuvier,Carcharhinus limbatus,Directed,,preysOn,
Galeocerdo cuvier,Carcharhinus limbatus,Directed,,eats,
Galeocerdo cuvier,Carcharhinus longimanus,Directed,,preysOn,
Galeocerdo cuvier,Carcharhinus longimanus,Directed,,eats,
Galeocerdo cuvier,Carcharhinus obscurus,Directed,,eats,
Galeocerdo cuvier,Carcharhinus obscurus,Directed,,preysOn,
Galeocerdo cuvier,Carcharhinus perezii,Directed,,preysOn,
Galeocerdo cuvier,Carcharhinus perezii,Directed,,eats,
Galeocerdo cuvier,Caretta caretta,Directed,,eats,
Galeocerdo cuvier,Cephalopholis cruentata,Directed,,preysOn,
Galeocerdo cuvier,Cephalopholis cruentata,Directed,,eats,
Galeocerdo cuvier,Cephalopholis fulva,Directed,,preysOn,
Galeocerdo cuvier,Cephalopholis fulva,Directed,,eats,
Galeocerdo cuvier,Cetorhinus maximus,Directed,,preysOn,
Galeocerdo cuvier,Cetorhinus maximus,Directed,,eats,
Galeocerdo cuvier,Chaetodipterus faber,Directed,,preysOn,
Galeocerdo cuvier,Chaetodipterus faber,Directed,,eats,
Galeocerdo cuvier,Chaetodon capistratus,Directed,,preysOn,
Galeocerdo cuvier,Chaetodon capistratus,Directed,,eats,
Galeocerdo cuvier,Chaetodon sedentarius,Directed,,preysOn,
Galeocerdo cuvier,Chaetodon sedentarius,Directed,,eats,
Galeocerdo cuvier,Chaetodon striatus,Directed,,preysOn,
Galeocerdo cuvier,Chaetodon striatus,Directed,,eats,
Galeocerdo cuvier,Chelonia mydas,Directed,,eats,
Galeocerdo cuvier,Chelonia mydas,Directed,,preysOn,
Galeocerdo cuvier,Chilomycterus antennatus,Directed,,preysOn,
Galeocerdo cuvier,Chilomycterus antennatus,Directed,,eats,
Galeocerdo cuvier,Chromis multilineata,Directed,,preysOn,
Galeocerdo cuvier,Chromis multilineata,Directed,,eats,
Galeocerdo cuvier,Clarias ebriensis,Directed,,eats,
Galeocerdo cuvier,Clepticus parrae,Directed,,preysOn,
Galeocerdo cuvier,Clepticus parrae,Directed,,eats,
Galeocerdo cuvier,Dactylopterus volitans,Directed,,preysOn,
Galeocerdo cuvier,Dactylopterus volitans,Directed,,eats,
Galeocerdo cuvier,Dasyatis americana,Directed,,preysOn,
Galeocerdo cuvier,Dasyatis americana,Directed,,eats,
Galeocerdo cuvier,Decapterus punctatus,Directed,,eats,
Galeocerdo cuvier,Diodon holocanthus,Directed,,preysOn,
Galeocerdo cuvier,Diodon holocanthus,Directed,,eats,
Galeocerdo cuvier,Diodon hystrix,Directed,,eats,
Galeocerdo cuvier,Diodon hystrix,Directed,,preysOn,
Galeocerdo cuvier,Diplodus caudimacula,Directed,,eats,
Galeocerdo cuvier,Dugong dugon,Directed,,eats,
Galeocerdo cuvier,Dugong dugon,Directed,,preysOn,
Galeocerdo cuvier,Echidna catenata,Directed,,preysOn,
Galeocerdo cuvier,Echidna catenata,Directed,,eats,
Galeocerdo cuvier,Elops saurus,Directed,,eats,
Galeocerdo cuvier,Epinephelus adscensionis,Directed,,preysOn,
Galeocerdo cuvier,Epinephelus adscensionis,Directed,,eats,
Galeocerdo cuvier,Epinephelus guttatus,Directed,,preysOn,
Galeocerdo cuvier,Epinephelus guttatus,Directed,,eats,
Galeocerdo cuvier,Epinephelus itajara,Directed,,eats,
Galeocerdo cuvier,Epinephelus itajara,Directed,,preysOn,
Galeocerdo cuvier,Epinephelus striatus,Directed,,preysOn,
Galeocerdo cuvier,Epinephelus striatus,Directed,,eats,
Galeocerdo cuvier,Equetus lanceolatus,Directed,,preysOn,
Galeocerdo cuvier,Equetus lanceolatus,Directed,,eats,
Galeocerdo cuvier,Equetus punctatus,Directed,,preysOn,
Galeocerdo cuvier,Equetus punctatus,Directed,,eats,
Galeocerdo cuvier,Eucinostomus argenteus,Directed,,preysOn,
Galeocerdo cuvier,Eucinostomus argenteus,Directed,,eats,
Galeocerdo cuvier,Euthynnus alletteratus,Directed,,preysOn,
Galeocerdo cuvier,Euthynnus alletteratus,Directed,,eats,
Galeocerdo cuvier,Felis catus,Directed,,eats,
Galeocerdo cuvier,Fistularia petimba,Directed,,eats,
Galeocerdo cuvier,Fistularia petimba,Directed,,preysOn,
Galeocerdo cuvier,Fistularia tabacaria,Directed,,preysOn,
Galeocerdo cuvier,Fistularia tabacaria,Directed,,eats,
Galeocerdo cuvier,Gerres cinereus,Directed,,preysOn,
Galeocerdo cuvier,Gerres cinereus,Directed,,eats,
Galeocerdo cuvier,Ginglymostoma cirratum,Directed,,preysOn,
Galeocerdo cuvier,Ginglymostoma cirratum,Directed,,eats,
Galeocerdo cuvier,Gymnothorax moringa,Directed,,preysOn,
Galeocerdo cuvier,Gymnothorax moringa,Directed,,eats,
Galeocerdo cuvier,Gymnothorax vicinus,Directed,,preysOn,
Galeocerdo cuvier,Gymnothorax vicinus,Directed,,eats,
Galeocerdo cuvier,Haemulon album,Directed,,preysOn,
Galeocerdo cuvier,Haemulon album,Directed,,eats,
Galeocerdo cuvier,Haemulon aurolineatum,Directed,,preysOn,
Galeocerdo cuvier,Haemulon aurolineatum,Directed,,eats,
Galeocerdo cuvier,Haemulon carbonarium,Directed,,preysOn,
Galeocerdo cuvier,Haemulon carbonarium,Directed,,eats,
Galeocerdo cuvier,Haemulon chrysargyreum,Directed,,preysOn,
Galeocerdo cuvier,Haemulon chrysargyreum,Directed,,eats,
Galeocerdo cuvier,Haemulon flavolineatum,Directed,,preysOn,
Galeocerdo cuvier,Haemulon flavolineatum,Directed,,eats,
Galeocerdo cuvier,Haemulon macrostomum,Directed,,preysOn,
Galeocerdo cuvier,Haemulon macrostomum,Directed,,eats,
Galeocerdo cuvier,Haemulon plumierii,Directed,,preysOn,
Galeocerdo cuvier,Haemulon plumierii,Directed,,eats,
Galeocerdo cuvier,Haemulon sciurus,Directed,,preysOn,
Galeocerdo cuvier,Haemulon sciurus,Directed,,eats,
Galeocerdo cuvier,Haemulon vittatum,Directed,,preysOn,
Galeocerdo cuvier,Haemulon vittatum,Directed,,eats,
Galeocerdo cuvier,Halichoeres bivittatus,Directed,,preysOn,
Galeocerdo cuvier,Halichoeres bivittatus,Directed,,eats,
Galeocerdo cuvier,Halichoeres garnoti,Directed,,preysOn,
Galeocerdo cuvier,Halichoeres garnoti,Directed,,eats,
Galeocerdo cuvier,Halichoeres poeyi,Directed,,preysOn,
Galeocerdo cuvier,Halichoeres poeyi,Directed,,eats,
Galeocerdo cuvier,Halichoeres radiatus,Directed,,preysOn,
Galeocerdo cuvier,Halichoeres radiatus,Directed,,eats,
Galeocerdo cuvier,Harengula clupeola,Directed,,preysOn,
Galeocerdo cuvier,Harengula clupeola,Directed,,eats,
Galeocerdo cuvier,Harengula humeralis,Directed,,preysOn,
Galeocerdo cuvier,Harengula humeralis,Directed,,eats,
Galeocerdo cuvier,Hemiramphus balao,Directed,,preysOn,
Galeocerdo cuvier,Hemiramphus balao,Directed,,eats,
Galeocerdo cuvier,Hemiramphus brasiliensis,Directed,,preysOn,
Galeocerdo cuvier,Hemiramphus brasiliensis,Directed,,eats,
Galeocerdo cuvier,Heteroconger hassi,Directed,,eats,
Galeocerdo cuvier,Heteroconger longissimus,Directed,,preysOn,
Galeocerdo cuvier,Heteropriacanthus cruentatus,Directed,,preysOn,
Galeocerdo cuvier,Heteropriacanthus cruentatus,Directed,,eats,
Galeocerdo cuvier,Hevea brasiliensis,Directed,,eats,
Galeocerdo cuvier,Holacanthus ciliaris,Directed,,preysOn,
Galeocerdo cuvier,Holacanthus ciliaris,Directed,,eats,
Galeocerdo cuvier,Holacanthus tricolor,Directed,,preysOn,
Galeocerdo cuvier,Holacanthus tricolor,Directed,,eats,
Galeocerdo cuvier,Holocentrus adscensionis,Directed,,preysOn,
Galeocerdo cuvier,Holocentrus adscensionis,Directed,,eats,
Galeocerdo cuvier,Holocentrus rufus,Directed,,preysOn,
Galeocerdo cuvier,Holocentrus rufus,Directed,,eats,
Galeocerdo cuvier,Homo sapiens,Directed,,eats,
Galeocerdo cuvier,Kyphosus incisor,Directed,,preysOn,
Galeocerdo cuvier,Kyphosus incisor,Directed,,eats,
Galeocerdo cuvier,Kyphosus sectatrix,Directed,,eats,
Galeocerdo cuvier,Lachnolaimus maximus,Directed,,preysOn,
Galeocerdo cuvier,Lachnolaimus maximus,Directed,,eats,
Galeocerdo cuvier,Lactophrys bicaudalis,Directed,,preysOn,
Galeocerdo cuvier,Lactophrys bicaudalis,Directed,,eats,
Galeocerdo cuvier,Lactophrys trigonus,Directed,,preysOn,
Galeocerdo cuvier,Lactophrys trigonus,Directed,,eats,
Galeocerdo cuvier,Lagocephalus laevigatus,Directed,,eats,
Galeocerdo cuvier,Lobatus gigas,Directed,,eats,
Galeocerdo cuvier,Lobatus gigas,Directed,,preysOn,
Galeocerdo cuvier,Lophius americanus,Directed,,preysOn,
Galeocerdo cuvier,Lophius americanus,Directed,,eats,
Galeocerdo cuvier,Lutjanus analis,Directed,,preysOn,
Galeocerdo cuvier,Lutjanus analis,Directed,,eats,
Galeocerdo cuvier,Lutjanus apodus,Directed,,preysOn,
Galeocerdo cuvier,Lutjanus apodus,Directed,,eats,
Galeocerdo cuvier,Lutjanus cyanopterus,Directed,,preysOn,
Galeocerdo cuvier,Lutjanus cyanopterus,Directed,,eats,
Galeocerdo cuvier,Lutjanus griseus,Directed,,preysOn,
Galeocerdo cuvier,Lutjanus griseus,Directed,,eats,
Galeocerdo cuvier,Lutjanus jocu,Directed,,preysOn,
Galeocerdo cuvier,Lutjanus jocu,Directed,,eats,
Galeocerdo cuvier,Lutjanus mahogoni,Directed,,preysOn,
Galeocerdo cuvier,Lutjanus mahogoni,Directed,,eats,
Galeocerdo cuvier,Lutjanus synagris,Directed,,preysOn,
Galeocerdo cuvier,Lutjanus synagris,Directed,,eats,
Galeocerdo cuvier,Malacanthus plumieri,Directed,,preysOn,
Galeocerdo cuvier,Malacanthus plumieri,Directed,,eats,
Galeocerdo cuvier,Megalops atlanticus,Directed,,preysOn,
Galeocerdo cuvier,Megalops atlanticus,Directed,,eats,
Galeocerdo cuvier,Melichthys niger,Directed,,preysOn,
Galeocerdo cuvier,Melichthys niger,Directed,,eats,
Galeocerdo cuvier,Microspathodon chrysurus,Directed,,preysOn,
Galeocerdo cuvier,Microspathodon chrysurus,Directed,,eats,
Galeocerdo cuvier,Monacanthus ciliatus,Directed,,preysOn,
Galeocerdo cuvier,Monacanthus ciliatus,Directed,,eats,
Galeocerdo cuvier,Mugil curema,Directed,,preysOn,
Galeocerdo cuvier,Mugil curema,Directed,,eats,
Galeocerdo cuvier,Mulloidichthys martinicus,Directed,,preysOn,
Galeocerdo cuvier,Mulloidichthys martinicus,Directed,,eats,
Galeocerdo cuvier,Mustelus canis,Directed,,preysOn,
Galeocerdo cuvier,Mustelus canis,Directed,,eats,
Galeocerdo cuvier,Mycteroperca bonaci,Directed,,preysOn,
