sourceTaxonName	sourceTaxonSpeciesName	sourceTaxonRank	sourceTaxonFamilyName	interactionTypeName	targetTaxonName	targetTaxonSpeciesName	targetTaxonRank	sourceCitation	sourceDOI	referenceDoi	referenceUrl	referenceCitation	sourceTaxonKingdomName	targetTaxonKingdomName
Galeocerdo cuvier	Galeocerdo cuvier	species	Carcharhinidae	eats	Iguana iguana	Iguana iguana	species	http://gomexsi.tamucc.edu				Raul Osorno. 1992. Aspectos biologicos de los tiburones capturados en las costas de Tamaulipas y Veracruz, Mexico.	Animalia	Animalia
Reptilian orthoreovirus	Reptilian orthoreovirus	species	Reoviridae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				Blahak & Gobel 1991	Viruses	Animalia
European catfish virus	European catfish virus	species	Iridoviridae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/24073785	Viruses	Animalia
Venezuelan equine encephalitis virus	Venezuelan equine encephalitis virus	species	Togaviridae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/5690806	Viruses	Animalia
Salmonella enterica subsp. arizonae	Salmonella enterica	subspecies	Enterobacteriaceae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/9876856		Animalia
Neisseria iguanae	Neisseria iguanae	species	Neisseriaceae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				Barrett et al. 1994		Animalia
Burkholderia pseudomallei	Burkholderia pseudomallei	species	Burkholderiaceae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/24447394		Animalia
Campylobacter iguaniorum	Campylobacter iguaniorum	species	Campylobacteraceae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				Gilbert et al. 2015	Bacteria	Animalia
Salmonella enterica subsp. houtenae	Salmonella enterica	subspecies	Enterobacteriaceae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/11731161		Animalia
Salmonella enterica subsp. diarizonae	Salmonella enterica	subspecies	Enterobacteriaceae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/11731161		Animalia
Mycoplasma iguanae	Mycoplasma iguanae	species	Mycoplasmataceae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/16585690	Bacteria	Animalia
Chlamydia pneumoniae	Chlamydia pneumoniae	species	Chlamydiaceae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/12086181		Animalia
Chlamydophila felis	Chlamydophila felis	species	Chlamydiaceae	pathogenOf	Iguana iguana	Iguana iguana	species	Shaw, LP, Wang, AD, Dylus, D, et al. The phylogenetic range of bacterial and viral pathogens of vertebrates. Mol Ecol. 2020; 29: 3361– 3379. https://doi.org/10.1111/mec.15463				https://www.ncbi.nlm.nih.gov/pubmed/12086181	Bacteria	Animalia
Boa imperator	Boa imperator	species	Boidae	preysOn	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Benoît Segerer. 2012. Boa imperator preying on Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/96674846> on 17 Nov 2021.	Animalia	Animalia
Trachemys scripta	Trachemys scripta	species	Emydidae	eats	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Joe MDO. 2021. Trachemys scripta eating Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/74331383> on 17 Nov 2021.	Animalia	Animalia
Buteo lineatus	Buteo lineatus	species	Accipitridae	preysOn	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				David Govoni. 2021. Iguana iguana observed species association: predated by Buteo lineatus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/69719793> on 17 Nov 2021.	Animalia	Animalia
Buteo platypterus	Buteo platypterus	species	Accipitridae	preysOn	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Daniel. 2020. Buteo platypterus preying on Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/66940428> on 17 Nov 2021.	Animalia	Animalia
Crocodylus acutus	Crocodylus acutus	species	Crocodylidae	eats	Iguana iguana	Iguana iguana	species	http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.				Joe MDO. 2009. Crocodylus acutus eating Iguana iguana. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/7693094> on 17 Nov 2021.	Animalia	Animalia
