Id,Label,Interval,TaxonRank,TaxonFamilyName,TaxonKingdomName
Galeocerdo cuvier,,,species,,Animalia
Reptilian orthoreovirus,,,species,,Viruses
European catfish virus,,,species,,Viruses
Venezuelan equine encephalitis virus,,,species,,Viruses
Salmonella enterica subsp. arizonae,,,subspecies,,
Neisseria iguanae,,,species,,
Burkholderia pseudomallei,,,species,,
Campylobacter iguaniorum,,,species,,Bacteria
Salmonella enterica subsp. houtenae,,,subspecies,,
Salmonella enterica subsp. diarizonae,,,subspecies,,
Mycoplasma iguanae,,,species,,Bacteria
Chlamydia pneumoniae,,,species,,
Chlamydophila felis,,,species,,Bacteria
Boa imperator,,,species,,Animalia
Trachemys scripta,,,species,,Animalia
Buteo lineatus,,,species,,Animalia
Buteo platypterus,,,species,,Animalia
Crocodylus acutus,,,species,,Animalia
Boa imperator,,,species,,Animalia
Boa imperator,,,species,,Animalia
Elanoides forficatus,,,species,,Animalia
Eunectes murinus,,,species,,Animalia
Trachemys stejnegeri,,,species,,Animalia
Boa imperator,,,species,,Animalia
Buteo plagiatus,,,species,,Animalia
Caracara plancus,,,species,,Animalia
Falco sparverius,,,species,,Animalia
Buteo plagiatus,,,species,,Animalia
Glaucidium brasilianum,,,species,,Animalia
Glaucidium brasilianum,,,species,,Animalia
Loxocemus bicolor,,,species,,Animalia
Enulius flavitorques,,,species,,Animalia
Corallus grenadensis,,,species,,Animalia
Rhinobothryum lentiginosum,,,species,,Animalia
Oxybelis fulgidus,,,species,,Animalia
Siphlophis compressus,,,species,,Animalia
Borikenophis portoricensis,,,species,,Animalia
Plasmodium rhadinurum,,,species,,Chromista
Ozolaimus cirratus,,,species,,Animalia
Oxyuris iguanae,,,species,,Animalia
Alaeuris vogelsangi,,,species,,Animalia
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Ozolaimus monhystera,,,species,,Animalia
Ozolaimus cirratus,,,species,,Animalia
Alaeuris hirsutus,,,species,,Animalia
Ozolaimus megatyphlon,,,species,,Animalia
Ozolaimus megatyphlon,,,species,,Animalia
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium minasense,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium minasense,,,species,,Chromista
Plasmodium minasense,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium minasense,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium minasense,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium minasense,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
Plasmodium minasense,,,species,,Chromista
Plasmodium rhadinurum,,,species,,Chromista
