Id,Label,Interval,TaxonRank,TaxonFamilyName,TaxonKingdomName
Galeocerdo cuvier,,,species,,Animalia
Reptilian orthoreovirus,,,species,,Viruses
European catfish virus,,,species,,Viruses
Venezuelan equine encephalitis virus,,,species,,Viruses
Salmonella enterica subsp. arizonae,,,subspecies,,
Neisseria iguanae,,,species,,
Burkholderia pseudomallei,,,species,,
Campylobacter iguaniorum,,,species,,Bacteria
Salmonella enterica subsp. houtenae,,,subspecies,,
Salmonella enterica subsp. diarizonae,,,subspecies,,
Mycoplasma iguanae,,,species,,Bacteria
Chlamydia pneumoniae,,,species,,
Chlamydophila felis,,,species,,Bacteria
Boa imperator,,,species,,Animalia
Trachemys scripta,,,species,,Animalia
Buteo lineatus,,,species,,Animalia
Buteo platypterus,,,species,,Animalia
Crocodylus acutus,,,species,,Animalia
Elanoides forficatus,,,species,,Animalia
Eunectes murinus,,,species,,Animalia
Trachemys stejnegeri,,,species,,Animalia
Buteo plagiatus,,,species,,Animalia
Caracara plancus,,,species,,Animalia
Falco sparverius,,,species,,Animalia
Glaucidium brasilianum,,,species,,Animalia
Loxocemus bicolor,,,species,,Animalia
Enulius flavitorques,,,species,,Animalia
Corallus grenadensis,,,species,,Animalia
Rhinobothryum lentiginosum,,,species,,Animalia
Oxybelis fulgidus,,,species,,Animalia
Siphlophis compressus,,,species,,Animalia
Borikenophis portoricensis,,,species,,Animalia
Plasmodium rhadinurum,,,species,,Chromista
Ozolaimus cirratus,,,species,,Animalia
Oxyuris iguanae,,,species,,Animalia
Alaeuris vogelsangi,,,species,,Animalia
Ozolaimus monhystera,,,species,,Animalia
Alaeuris hirsutus,,,species,,Animalia
Ozolaimus megatyphlon,,,species,,Animalia
Plasmodium minasense,,,species,,Chromista
Amblyomma dissimile,,,species,,Animalia
Amblyomma sabanerae,,,species,,Animalia
TRICHOSOMA =CAPILLARIA IGUANAE,,,subspecies,,
Amblyomma rotundatum,,,species,,Animalia
Amblyomma testudinis,,,species,,Animalia
Chrysosporium guarroi,,,species,,Fungi
Mycoplasma insons,,,species,,
Chlamydophila pneumoniae,,,species,,Bacteria
Cryptosporidium parvum,,,species,,Protozoa
Amblyomma scutatum,,,species,,Animalia
Iguana iguana,,,species,,Animalia
Galeocerdo cuvier,,,species,,
Pseudoterranova decipiens,,,species,,Animalia
Porrocaecum bengalensis,,,species,,Animalia
Terranova nidifex,,,species,,Animalia
Terranova brevicapitata,,,species,,Animalia
Terranova galeocerdonis,,,species,,Animalia
Porrocaecum longispiculum,,,species,,Animalia
Thysanocephalum thysanocephalum,,,species,,Animalia
Pterobothrium heteracanthum,,,species,,Animalia
Platybothrium spinulifera,,,species,,Animalia
Dicranobothrium spinulifera,,,species,,Animalia
Grillotiella exile,,,species,,Animalia
Thysanocephalum crispum,,,species,,Animalia
Orygmatobothrium paulum,,,species,,Animalia
Otobothrium cysticum,,,species,,Animalia
Thysanocephalum rugosum,,,species,,Animalia
Monorygma galeocerdonis,,,species,,Animalia
Paraorygmatobothrium paulum,,,species,,Metazoa
TETRARHYNCHUS BISULCATUS,,,species,,
Reptilian orthoreovirus,,,species,,Orthornavirae
Aprostocetus tilicola,,,species,,Animalia
Venezuelan equine encephalitis virus,,,species,,Orthornavirae
Bijou Bridge virus,,,,,Orthornavirae
Burkholderia phage Bp-AMP2,,,species,,Heunggongvirae
Burkholderia phage ST79,,,,,Heunggongvirae
Burkholderia phage Bp-AMP4,,,species,,Heunggongvirae
Burkholderia phage Bp-AMP1,,,,,Heunggongvirae
Burkholderia virus phiE122,,,species,,Heunggongvirae
Burkholderia phage BEK,,,,,Heunggongvirae
Burkholderia virus phi1026b,,,species,,Heunggongvirae
Burkholderia virus phi6442,,,species,,Heunggongvirae
Burkholderia virus phi52237,,,species,,Heunggongvirae
Burkholderia phage Bp-AMP3,,,species,,Heunggongvirae
Burkholderia phage phiX216,,,,,Heunggongvirae
Burkholderia phage KS9,,,species,,Heunggongvirae
