speciesKey,scientificName,rank,taxonomicStatus,kingdom,includes
1002590,"Keratella cochlearis (Gosse, 1851)",SPECIES,ACCEPTED,Animalia,"1002590: Keratella cochlearis (Gosse, 1851)"
1003198,"Synchaeta littoralis Rousselet, 1902",SPECIES,ACCEPTED,Animalia,"1003198: Synchaeta littoralis Rousselet, 1902"
1013464,"Pachyiulus hungaricus (Karsch, 1881)",SPECIES,ACCEPTED,Animalia,"1013464: Pachyiulus hungaricus (Karsch, 1881)"
1017419,"Oxidus gracilis (C.L.Koch, 1847)",SPECIES,ACCEPTED,Animalia,"1017419: Oxidus gracilis (C.L.Koch, 1847)"
1020691,"Polydesmus complanatus (Linnaeus, 1761)",SPECIES,ACCEPTED,Animalia,"1020691: Polydesmus complanatus (Linnaeus, 1761)"
1020870,"Polydesmus schaessburgensis Verhoeff, 1898",SPECIES,ACCEPTED,Animalia,"1020870: Polydesmus schaessburgensis Verhoeff, 1898"
1031394,"Ectopsocus petersi Smithers, 1978",SPECIES,ACCEPTED,Animalia,"1031394: Ectopsocus petersi Smithers, 1978"
1031692,"Graphopsocus cruciatus (Linnaeus, 1768)",SPECIES,ACCEPTED,Animalia,"1031692: Graphopsocus cruciatus (Linnaeus, 1768)"
1035239,"Amara quenseli (Schönherr, 1806)",SPECIES,ACCEPTED,Animalia,"1035239: Amara quenseli (Schönherr, 1806)"
1036789,"Carabus granulatus Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"1036789: Carabus granulatus Linnaeus, 1758"
1036917,"Anisodactylus binotatus (Fabricius, 1787)",SPECIES,ACCEPTED,Animalia,"1036917: Anisodactylus binotatus (Fabricius, 1787)"
1038064,"Dytiscus marginalis Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"1038064: Dytiscus marginalis Linnaeus, 1758"
1039017,"Nicrophorus vespillo (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1039017: Nicrophorus vespillo (Linnaeus, 1758)"
1039019,"Nicrophorus interruptus (Stephens, 1830)",SPECIES,ACCEPTED,Animalia,"1039019: Nicrophorus interruptus (Stephens, 1830)"
1040505,"Stenus biguttatus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1040505: Stenus biguttatus (Linnaeus, 1758)"
1043066,"Hippodamia tredecimpunctata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1043066: Hippodamia tredecimpunctata (Linnaeus, 1758)"
1043082,"Hippodamia variegata (Goeze, 1777)",SPECIES,ACCEPTED,Animalia,"1043082: Hippodamia variegata (Goeze, 1777)"
1043097,"Adalia bipunctata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1043097: Adalia bipunctata (Linnaeus, 1758)"
1043102,"Brumus quadripustulatus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"5877963: Exochomus quadripustulatus (Linnaeus, 1758)"
1043118,"Harmonia quadripunctata (Pontoppidan, 1763)",SPECIES,ACCEPTED,Animalia,"1043118: Harmonia quadripunctata (Pontoppidan, 1763)"
1043171,"Calvia quatuordecimguttata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1043171: Calvia quatuordecimguttata (Linnaeus, 1758)"
1043318,"Subcoccinella vigintiquatuorpunctata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1043318: Subcoccinella vigintiquatuorpunctata (Linnaeus, 1758)"
1043495,"Chilocorus bipustulatus (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1043495: Chilocorus bipustulatus (Linnaeus, 1758)"
1043572,"Propylaea quatuordecimpunctata (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"4452216: Propylea quatuordecimpunctata (Linnaeus, 1758)"
1043978,"Stelidota geminata (Say, 1825)",SPECIES,ACCEPTED,Animalia,"1043978: Stelidota geminata (Say, 1825)"
1045842,"Tenebrio obscurus Fabricius, 1792",SPECIES,ACCEPTED,Animalia,"1045842: Tenebrio obscurus Fabricius, 1792"
1045843,"Tenebrio molitor Linnaeus, 1758",SPECIES,ACCEPTED,Animalia,"1045843: Tenebrio molitor Linnaeus, 1758"
1046592,"Lytta vesicatoria (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1046592: Lytta vesicatoria (Linnaeus, 1758)"
1047536,"Leptinotarsa decemlineata (Say, 1824)",SPECIES,ACCEPTED,Animalia,"1047536: Leptinotarsa decemlineata (Say, 1824)"
1048319,"Oulema melanopus (Linnaeus, 1761)",SPECIES,ACCEPTED,Animalia,"1048319: Oulema melanopus (Linnaeus, 1761)"
1048335,"Gastrophysa polygoni (Linnaeus, 1758)",SPECIES,ACCEPTED,Animalia,"1048335: Gastrophysa polygoni (Linnaeus, 1758)"
1048626,"Plagiodera versicolora (Laicharting, 1781)",SPECIES,ACCEPTED,Animalia,"1048626: Plagiodera versicolora (Laicharting, 1781)"
1048809,"Lilioceris lilii (Scopoli, 1763)",SPECIES,ACCEPTED,Animalia,"1048809: Lilioceris lilii (Scopoli, 1763)"
1049323,"Ophraella communa LeSage, 1986",SPECIES,ACCEPTED,Animalia,"1049323: Ophraella communa LeSage, 1986"
1054787,"Anoxia orientalis (Krynicky, 1832)",SPECIES,ACCEPTED,Animalia,"1054787: Anoxia orientalis (Krynicky, 1832)"
