"","scientificName2","speciesKey","scientificName","rank","taxonomicStatus","kingdom","includes","ALIEN"
"1","Abax parallelus",5754817,"Abax parallelus (Duftschmid, 1812)","SPECIES","ACCEPTED","Animalia","5754817: Abax parallelus (Duftschmid, 1812)",FALSE
"2","Abax schueppeli",5754751,"Abax schueppeli Palliardi, 1825","SPECIES","ACCEPTED","Animalia","5754751: Abax schueppeli Palliardi, 1825",FALSE
"3","Abelmoschus esculentus",3152707,"Abelmoschus esculentus (L.) Moench","SPECIES","ACCEPTED","Plantae","3152707: Abelmoschus esculentus (L.) Moench | 3152708: Hibiscus esculentus L.",FALSE
"4","Abia fasciata",5759491,"Abia fasciata (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","5759491: Abia fasciata (Linnaeus, 1758)",FALSE
"5","Abia sericea",5759492,"Abia sericea (Linnaeus, 1767)","SPECIES","ACCEPTED","Animalia","5759492: Abia sericea (Linnaeus, 1767)",FALSE
"6","Abies alba",2685484,"Abies alba Mill.","SPECIES","ACCEPTED","Plantae","2685484: Abies alba Mill.",FALSE
"7","Abietinella abietina",5283402,"Abietinella abietina Fleischer, 1923","SPECIES","ACCEPTED","Plantae","5283402: Abietinella abietina Fleischer, 1923 | 7984464: Abietinella abietina var. hystricosa (Mitt.) Sakurai",FALSE
"8","Ablattaria laevigata",4448415,"Ablattaria laevigata (Fabricius, 1775)","SPECIES","ACCEPTED","Animalia","4448415: Ablattaria laevigata (Fabricius, 1775)",FALSE
"9","Ablepharus kitaibelii",8120403,"Ablepharus kitaibelii Bibron & Bory St-Vincent, 1833","SPECIES","ACCEPTED","Animalia","6161093: Ablepharus kitaibelii fitzingeri Mertens, 1952 | 6161094: Ablepharus kitaibelii stepaneki Fuhn, 1970 | 8120403: Ablepharus kitaibelii Bibron & Bory St-Vincent, 1833",FALSE
"10","Abramis brama",9809222,"Abramis brama (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","9809222: Abramis brama (Linnaeus, 1758)",FALSE
"11","Abraxas grossulariata",1967873,"Abraxas grossulariata (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1967873: Abraxas grossulariata (Linnaeus, 1758)",FALSE
"12","Abrostola triplasia",1767597,"Abrostola triplasia (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","1767597: Abrostola triplasia (Linnaeus, 1758)",FALSE
"13","Abutilon theophrasti",3152614,"Abutilon theophrasti Medik.","SPECIES","ACCEPTED","Plantae","3152614: Abutilon theophrasti Medik.",FALSE
"14","Acacia dealbata",2979474,"Acacia dealbata Link","SPECIES","ACCEPTED","Plantae","2979474: Acacia dealbata Link",FALSE
"15","Acanthinula aculeata",4567429,"Acanthinula aculeata (O.F.Müller, 1774)","SPECIES","ACCEPTED","Animalia","4567429: Acanthinula aculeata (O.F.Müller, 1774)",FALSE
"16","Acanthiophilus helianthi",1629286,"Acanthiophilus helianthi (Rossi, 1794)","SPECIES","ACCEPTED","Animalia","1629286: Acanthiophilus helianthi (Rossi, 1794)",FALSE
"17","Acanthis flammea",5231630,"Acanthis flammea (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","5231630: Acanthis flammea (Linnaeus, 1758) | 6175375: Carduelis flammea flammea | 6871058: Acanthis cabaret (Müller & Pls, 1776) | 7179983: Acanthis flammea flammea",FALSE
"18","Acanthosoma haemorrhoidale",5866246,"Acanthosoma haemorrhoidale (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","5866246: Acanthosoma haemorrhoidale (Linnaeus, 1758)",FALSE
"19","Acarospora versicolor",2600519,"Acarospora versicolor Bagl. & Carestia","SPECIES","ACCEPTED","Fungi","2600519: Acarospora versicolor Bagl. & Carestia",FALSE
"20","Acartia clausi",2114445,"Acartia clausi Giesbrecht, 1889","SPECIES","ACCEPTED","Animalia","2114445: Acartia clausi Giesbrecht, 1889",FALSE
"21","Accipiter brevipes",2480578,"Accipiter brevipes (Severtzov, 1850)","SPECIES","ACCEPTED","Animalia","2480578: Accipiter brevipes (Severtzov, 1850)",FALSE
"22","Accipiter gentilis",2480589,"Accipiter gentilis (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","2480589: Accipiter gentilis (Linnaeus, 1758)",FALSE
"23","Accipiter nisus",2480637,"Accipiter nisus (Linnaeus, 1758)","SPECIES","ACCEPTED","Animalia","2480637: Accipiter nisus (Linnaeus, 1758) | 7191198: Accipiter nisus nisus",FALSE
"24","Acer campestre",3189863,"Acer campestre L.","SPECIES","ACCEPTED","Plantae","3189863: Acer campestre L.",FALSE
"25","Acer monspessulanum",7262958,"Acer monspessulanum L.","SPECIES","ACCEPTED","Plantae","3768042: Acer illyricum J.Jacq. | 7262958: Acer monspessulanum L.",FALSE
"26","Acer negundo",3189866,"Acer negundo L.","SPECIES","ACCEPTED","Plantae","3189866: Acer negundo L.",TRUE
"27","Acer platanoides",3189846,"Acer platanoides L.","SPECIES","ACCEPTED","Plantae","3189846: Acer platanoides L.",FALSE
"28","Acer pseudoplatanus",3189870,"Acer pseudoplatanus L.","SPECIES","ACCEPTED","Plantae","3189870: Acer pseudoplatanus L.",TRUE
"29","Acer tataricum",3189843,"Acer tataricum L.","SPECIES","ACCEPTED","Plantae","3189843: Acer tataricum L.",FALSE
