Id;Taxonomische groep;Nederlandse naam;Wetenschappelijke naam;Categorie in publicatie;IUCN Categorie;Criterium;Jaar;Vastgesteld;Gevalideerd;Referentie van publicatie;Taal;Toegevoegd op
8277;Doodhoutkevers;Juchtleerkever;Osmoderma eremita;Ernstig bedreigd;Ernstig bedreigd;IUCN;2015;Nee;Ja;Thomaes et al. (2015);nl-BE;2021-06-08T07:34:37.41Z
22442;Amfibieën;Vroedmeesterpad;Alytes obstetricans;Bedreigd;Bedreigd;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.677Z
22443;Amfibieën;Geelbuikvuurpad;Bombina variegata;Regionaal uitgestorven;Regionaal uitgestorven;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22444;Amfibieën;Gewone pad;Bufo bufo;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22445;Amfibieën;Rugstreeppad;Bufo calamita;Kwetsbaar;Kwetsbaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22446;Amfibieën;Boomkikker;Hyla arborea;Ernstig bedreigd;Ernstig bedreigd;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22447;Amfibieën;Knoflookpad;Pelobates fuscus;Ernstig bedreigd;Ernstig bedreigd;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22448;Amfibieën;Bastaardkikker;Pelophylax kl. esculentus;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22449;Amfibieën;Poelkikker;Pelophylax lessonae;Bijna in gevaar;Bijna in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22450;Amfibieën;Europese meerkikker;Pelophylax ridibundus;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22451;Amfibieën;Heikikker;Rana arvalis;Kwetsbaar;Kwetsbaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.693Z
22452;Amfibieën;Bruine kikker;Rana temporaria;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22453;Amfibieën;Alpenwatersalamander;Ichthyosaura alpestris;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22454;Amfibieën;Vinpootsalamander;Lissotriton helveticus;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22455;Amfibieën;Kleine watersalamander;Lissotriton vulgaris;Momenteel niet in gevaar;Momenteel niet in gevaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22456;Amfibieën;Vuursalamander;Salamandra salamandra;Kwetsbaar;Kwetsbaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22457;Amfibieën;Kamsalamander;Triturus cristatus;Kwetsbaar;Kwetsbaar;IUCN;2012;Ja;Ja;Jooris et al. (2012);nl-BE;2021-06-08T07:34:31.707Z
22458;Amfibieën;Vroedmeesterpad;Alytes obstetricans;Bedreigd;Bedreigd;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.707Z
22459;Amfibieën;Geelbuikvuurpad;Bombina variegata;Uitgestorven in Vlaanderen;Regionaal uitgestorven;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.707Z
22460;Amfibieën;Gewone pad;Bufo bufo;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.707Z
22461;Amfibieën;Rugstreeppad;Bufo calamita;Zeldzaam;Bijna in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.707Z
22462;Amfibieën;Boomkikker;Hyla arborea;Met uitsterven bedreigd;Ernstig bedreigd;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22463;Amfibieën;Knoflookpad;Pelobates fuscus;Bedreigd;Bedreigd;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22464;Amfibieën;Heikikker;Rana arvalis;Zeldzaam;Bijna in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22465;Amfibieën;Groene kikker;Rana esculenta synklepton;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22466;Amfibieën;Bruine kikker;Rana temporaria;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22467;Amfibieën;Vuursalamander;Salamandra salamandra;Kwetsbaar;Kwetsbaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22468;Amfibieën;Alpenwatersalamander;Triturus alpestris;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22469;Amfibieën;Kamsalamander;Triturus cristatus;Zeldzaam;Bijna in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22470;Amfibieën;Vinpootsalamander;Triturus helveticus;Zeldzaam;Bijna in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22471;Amfibieën;Kleine watersalamander;Triturus vulgaris;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;1996;Nee;Nee;Bauwens and Claus (1996);nl-BE;2021-06-08T07:34:31.723Z
22472;Mieren;Woekermier;Anergates atratulus;Met uitsterven bedreigd;Ernstig bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22473;Mieren;Zwarte reuzenmier;Camponotus vagus;Niet geëvalueerd;Niet geëvalueerd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22474;Mieren;Bruine renmier;Formica cunicularia;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22475;Mieren;Grauwzwarte mier;Formica fusca;Momenteel niet bedreigd;Momenteel niet in gevaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22476;Mieren;Duinrenmier;Formica lusatica;Bedreigd maar mate waarin ongekend;;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22477;Mieren;Kale bosmier;Formica polyctena;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22478;Mieren;Zwartrugbosmier;Formica pratensis;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22479;Mieren;Behaarde bosmier;Formica rufa;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22480;Mieren;hybride van Formica rufa -complex;Formica rufa x polyctena;Bedreigd maar mate waarin ongekend;;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22481;Mieren;Rode baardmier;Formica rufibarbis;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.74Z
22482;Mieren;Bloedrode roofmier;Formica sanguinea;Kwetsbaar;Kwetsbaar;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22483;Mieren;Veenmier;Formica transkaucasica;Sterk bedreigd;Bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22484;Mieren;Glanzende gastmier;Formicoxenus nitidulus;Met uitsterven bedreigd;Ernstig bedreigd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22485;Mieren;Tropische staafmier;Hypoponera punctatissima;Niet geëvalueerd;Niet geëvalueerd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
22486;Mieren;Ergatoïde staafmier;Hypoponera bondroiti;Niet geëvalueerd;Niet geëvalueerd;Regionaal;2003;Nee;Nee;Dekoninck et al. (2003);nl-BE;2021-06-08T07:34:31.753Z
