id	locationID	locality	countryCode	occurrenceStatus	threatStatus	establishmentMeans	eventDate	source	occurrenceRemarks
INBO_RL_AMP_1996_NONVAL_1	ISO_3166:BE-VLG	Flanders	BE	present	EN	native	1996	Bauwens and Claus (1996)	Bedreigd
INBO_RL_AMP_1996_NONVAL_10	ISO_3166:BE-VLG	Flanders	BE	present	NT	native	1996	Bauwens and Claus (1996)	Zeldzaam
INBO_RL_AMP_1996_NONVAL_11	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	1996	Bauwens and Claus (1996)	Momenteel niet bedreigd
INBO_RL_AMP_1996_NONVAL_12	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	1996	Bauwens and Claus (1996)	Momenteel niet bedreigd
INBO_RL_AMP_1996_NONVAL_13	ISO_3166:BE-VLG	Flanders	BE	present	VU	native	1996	Bauwens and Claus (1996)	Kwetsbaar
INBO_RL_AMP_1996_NONVAL_14	ISO_3166:BE-VLG	Flanders	BE	present	NT	native	1996	Bauwens and Claus (1996)	Zeldzaam
INBO_RL_AMP_1996_NONVAL_2	ISO_3166:BE-VLG	Flanders	BE	absent	RE	native	1996	Bauwens and Claus (1996)	Uitgestorven in Vlaanderen
INBO_RL_AMP_1996_NONVAL_3	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	1996	Bauwens and Claus (1996)	Momenteel niet bedreigd
INBO_RL_AMP_1996_NONVAL_4	ISO_3166:BE-VLG	Flanders	BE	present	NT	native	1996	Bauwens and Claus (1996)	Zeldzaam
INBO_RL_AMP_1996_NONVAL_5	ISO_3166:BE-VLG	Flanders	BE	present	CR	native	1996	Bauwens and Claus (1996)	Met uitsterven bedreigd
INBO_RL_AMP_1996_NONVAL_6	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	1996	Bauwens and Claus (1996)	Momenteel niet bedreigd
INBO_RL_AMP_1996_NONVAL_7	ISO_3166:BE-VLG	Flanders	BE	present	NT	native	1996	Bauwens and Claus (1996)	Zeldzaam
INBO_RL_AMP_1996_NONVAL_8	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	1996	Bauwens and Claus (1996)	Momenteel niet bedreigd
INBO_RL_AMP_1996_NONVAL_9	ISO_3166:BE-VLG	Flanders	BE	present	EN	native	1996	Bauwens and Claus (1996)	Bedreigd
