id	taxonID	scientificName	kingdom	phylum	class	order	family	genus	taxonRank	vernacularName	nomenclaturalCode	language	license	rightsHolder	accessRights	datasetID	datasetName
INBO_RL_AMP_1996_NONVAL_1	INBO_RL_AMP_1996_NONVAL_1	Alytes obstetricans	Animalia	Chordata	Amphibia	Anura	Alytidae	Alytes	species	Vroedmeesterpad	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_AMP_1996_NONVAL_10	INBO_RL_AMP_1996_NONVAL_10	Rana arvalis	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	species	Heikikker	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_AMP_1996_NONVAL_11	INBO_RL_AMP_1996_NONVAL_11	Rana esculenta synklepton	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	infraspecificname	Groene kikker	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_AMP_1996_NONVAL_12	INBO_RL_AMP_1996_NONVAL_12	Rana temporaria	Animalia	Chordata	Amphibia	Anura	Ranidae	Rana	species	Bruine kikker	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_AMP_1996_NONVAL_13	INBO_RL_AMP_1996_NONVAL_13	Salamandra salamandra	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Salamandra	species	Vuursalamander	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_AMP_1996_NONVAL_14	INBO_RL_AMP_1996_NONVAL_14	Triturus cristatus	Animalia	Chordata	Amphibia	Caudata	Salamandridae	Triturus	species	Kamsalamander	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_AMP_1996_NONVAL_2	INBO_RL_AMP_1996_NONVAL_2	Bombina variegata	Animalia	Chordata	Amphibia	Anura	Bombinatoridae	Bombina	species	Geelbuikvuurpad	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_AMP_1996_NONVAL_3	INBO_RL_AMP_1996_NONVAL_3	Bufo bufo	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	species	Gewone pad	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_AMP_1996_NONVAL_4	INBO_RL_AMP_1996_NONVAL_4	Bufo calamita	Animalia	Chordata	Amphibia	Anura	Bufonidae	Bufo	species	Rugstreeppad	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
INBO_RL_AMP_1996_NONVAL_5	INBO_RL_AMP_1996_NONVAL_5	Hyla arborea	Animalia	Chordata	Amphibia	Anura	Hylidae	Hyla	species	Boomkikker	ICZN	en	http://creativecommons.org/publicdomain/zero/1.0/	INBO	https://www.inbo.be/en/norms-data-use	https://doi.org/10.15468/54nwog	Non-validated red lists of Flanders, Belgium
