id	description	type	source	language
INBO_RL_AMP_2013_VAL_1	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_1	standing waters	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_1	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_1	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_1	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_1	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_1	mesotrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_10	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_10	eurytopic	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_10	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_10	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_10	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_10	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_10	eutrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_11	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_11	standing waters	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_11	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_11	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_11	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_11	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_11	oligotrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_12	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_12	standing waters	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_12	longlived	lifespan	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_12	non cuddly	cuddliness	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_12	sedentary	mobility	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_12	vertebrate	spine	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_12	eutrophic	nutrient level	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_13	aquatic	biome	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_13	heathlands	biotope	Jooris et al. (2013)	en
INBO_RL_AMP_2013_VAL_13	longlived	lifespan	Jooris et al. (2013)	en
