id	locationID	locality	countryCode	occurrenceStatus	threatStatus	establishmentMeans	eventDate	source	occurrenceRemarks
INBO_RL_AMP_2013_VAL_1	ISO_3166:BE-VLG	Flanders	BE	present	EN	native	2013	Jooris et al. (2012)	Bedreigd
INBO_RL_AMP_2013_VAL_10	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2013	Jooris et al. (2012)	Momenteel niet in gevaar
INBO_RL_AMP_2013_VAL_11	ISO_3166:BE-VLG	Flanders	BE	present	NT	native	2013	Jooris et al. (2012)	Bijna in gevaar
INBO_RL_AMP_2013_VAL_12	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2013	Jooris et al. (2012)	Momenteel niet in gevaar
INBO_RL_AMP_2013_VAL_13	ISO_3166:BE-VLG	Flanders	BE	present	VU	native	2013	Jooris et al. (2012)	Kwetsbaar
INBO_RL_AMP_2013_VAL_14	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2013	Jooris et al. (2012)	Momenteel niet in gevaar
INBO_RL_AMP_2013_VAL_15	ISO_3166:BE-VLG	Flanders	BE	present	VU	native	2013	Jooris et al. (2012)	Kwetsbaar
INBO_RL_AMP_2013_VAL_16	ISO_3166:BE-VLG	Flanders	BE	present	VU	native	2013	Jooris et al. (2012)	Kwetsbaar
INBO_RL_AMP_2013_VAL_2	ISO_3166:BE-VLG	Flanders	BE	absent	RE	native	2013	Jooris et al. (2012)	Regionaal uitgestorven
INBO_RL_AMP_2013_VAL_3	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2013	Jooris et al. (2012)	Momenteel niet in gevaar
INBO_RL_AMP_2013_VAL_4	ISO_3166:BE-VLG	Flanders	BE	present	VU	native	2013	Jooris et al. (2012)	Kwetsbaar
INBO_RL_AMP_2013_VAL_5	ISO_3166:BE-VLG	Flanders	BE	present	CR	native	2013	Jooris et al. (2012)	Ernstig bedreigd
INBO_RL_AMP_2013_VAL_6	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2013	Jooris et al. (2012)	Momenteel niet in gevaar
INBO_RL_AMP_2013_VAL_7	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2013	Jooris et al. (2012)	Momenteel niet in gevaar
INBO_RL_AMP_2013_VAL_8	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2013	Jooris et al. (2012)	Momenteel niet in gevaar
INBO_RL_AMP_2013_VAL_9	ISO_3166:BE-VLG	Flanders	BE	present	CR	native	2013	Jooris et al. (2012)	Ernstig bedreigd
INBO_RL_BIR_2004_VAL_1	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2004	Devos et al. (2004)	Momenteel niet bedreigd
INBO_RL_BIR_2004_VAL_10	ISO_3166:BE-VLG	Flanders	BE	present		introduced	2004	Devos et al. (2004)	Niet-inheemse broedvogel
INBO_RL_BIR_2004_VAL_100	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2004	Devos et al. (2004)	Momenteel niet bedreigd
INBO_RL_BIR_2004_VAL_101	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2004	Devos et al. (2004)	Momenteel niet bedreigd
INBO_RL_BIR_2004_VAL_102	ISO_3166:BE-VLG	Flanders	BE	present	NT	native	2004	Devos et al. (2004)	Zeldzaam
INBO_RL_BIR_2004_VAL_103	ISO_3166:BE-VLG	Flanders	BE	present	LC	native	2004	Devos et al. (2004)	Momenteel niet bedreigd
INBO_RL_BIR_2004_VAL_104	ISO_3166:BE-VLG	Flanders	BE	present	NE		2004	Devos et al. (2004)	Onregelmatige broedvogel
INBO_RL_BIR_2004_VAL_105	ISO_3166:BE-VLG	Flanders	BE	present	NT	native	2004	Devos et al. (2004)	Achteruitgaand
INBO_RL_BIR_2004_VAL_106	ISO_3166:BE-VLG	Flanders	BE	present	CR	native	2004	Devos et al. (2004)	Met uitsterven bedreigd
INBO_RL_BIR_2004_VAL_107	ISO_3166:BE-VLG	Flanders	BE	present	CR	native	2004	Devos et al. (2004)	Met uitsterven bedreigd
