id;taxonID;scientificName;kingdom;phylum;class;order;family;genus;taxonRank;vernacularName;nomenclaturalCode;language;license;rightsHolder;accessRights;datasetID;datasetName
INBO_RL_AMP_2013_VAL_1;INBO_RL_AMP_2013_VAL_1;Alytes obstetricans;Animalia;Chordata;Amphibia;Anura;Alytidae;Alytes;species;Vroedmeesterpad;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_AMP_2013_VAL_10;INBO_RL_AMP_2013_VAL_10;Pelophylax kl. esculentus;Animalia;Chordata;Amphibia;Anura;Ranidae;Pelophylax;infraspecificname;Bastaardkikker;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_AMP_2013_VAL_11;INBO_RL_AMP_2013_VAL_11;Pelophylax lessonae;Animalia;Chordata;Amphibia;Anura;Ranidae;Pelophylax;species;Poelkikker;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_AMP_2013_VAL_12;INBO_RL_AMP_2013_VAL_12;Pelophylax ridibundus;Animalia;Chordata;Amphibia;Anura;Ranidae;Pelophylax;species;Europese meerkikker;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_AMP_2013_VAL_13;INBO_RL_AMP_2013_VAL_13;Rana arvalis;Animalia;Chordata;Amphibia;Anura;Ranidae;Rana;species;Heikikker;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_AMP_2013_VAL_14;INBO_RL_AMP_2013_VAL_14;Rana temporaria;Animalia;Chordata;Amphibia;Anura;Ranidae;Rana;species;Bruine kikker;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_AMP_2013_VAL_15;INBO_RL_AMP_2013_VAL_15;Salamandra salamandra;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Salamandra;species;Vuursalamander;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_AMP_2013_VAL_16;INBO_RL_AMP_2013_VAL_16;Triturus cristatus;Animalia;Chordata;Amphibia;Caudata;Salamandridae;Triturus;species;Kamsalamander;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_AMP_2013_VAL_2;INBO_RL_AMP_2013_VAL_2;Bombina variegata;Animalia;Chordata;Amphibia;Anura;Bombinatoridae;Bombina;species;Geelbuikvuurpad;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
INBO_RL_AMP_2013_VAL_3;INBO_RL_AMP_2013_VAL_3;Bufo bufo;Animalia;Chordata;Amphibia;Anura;Bufonidae;Bufo;species;Gewone pad;ICZN;en;http://creativecommons.org/publicdomain/zero/1.0/;INBO;https://www.inbo.be/en/norms-data-use;https://doi.org/10.15468/8tk3tk;Validated Red Lists of Flanders, Belgium
