id,source,target,interaction,citation,doi,reference,referenceDOI,referenceURL
"Pernis apivorusVespa velutina","Pernis apivorus","Vespa velutina","preysOn","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Monceau K, Bonnard O, Thiery D. 2014. Vespa velutina: a new invasive predator of honeybees in Europe. Journal of Pest Science 87: 1-16. doi:10.1007/s10340-013-0537-3","10.1007/s10340-013-0537-3","None"
"Pernis apivorusApis mellifera","Pernis apivorus","Apis mellifera","eats","Species Connect. https://speciesconnect.com","None","watch a honeybee buzzard eating from a honeycomb! shared by @Darmzotten","None","None"
"Pernis apivorusSylvia atricapilla","Pernis apivorus","Sylvia atricapilla","eats","Groom, Q.J., Maarten De Groot, M. & Marčiulynienė, D. (2020) Species interation data manually extracted from literature for species .","None","10.1111/j.1474-919X.2009.00907.x","10.1111/j.1474-919X.2009.00907.x","None"
"Pernis apivorusTurdus philomelos","Pernis apivorus","Turdus philomelos","preysOn","Sarah E Miller. 3/4/2015. Species associations manually extracted from http://onlinelibrary.wiley.com/doi/10.1111/j.1474-919X.2009.00907.x/suppinfo.","10.5281/zenodo.258188","WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x","10.1111/j.1474-919X.2009.00907.x","None"
"Gallus gallusVespa velutina","Gallus gallus","Vespa velutina","preysOn","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Monceau K, Bonnard O, Thiery D. 2014. Vespa velutina: a new invasive predator of honeybees in Europe. Journal of Pest Science 87: 1-16. doi:10.1007/s10340-013-0537-3","10.1007/s10340-013-0537-3","None"
"Gallus gallusSalamandra salamandra","Gallus gallus","Salamandra salamandra","preysOn","Sarah E Miller. 4/16/2015. Species associations manually extracted from Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.","10.5281/zenodo.258194","Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.","None","None"
"Vespa velutinaAgalenatea redii","Vespa velutina","Agalenatea redii","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaAgrotis exclamationis","Vespa velutina","Agrotis exclamationis","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaAlydus calcaratus","Vespa velutina","Alydus calcaratus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaAngelica sylvestris","Vespa velutina","Angelica sylvestris","visits","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Pedro Moreira. 2021. Vespa velutina name of associated plant Angelica sylvestris. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/90804667> on 17 Nov 2021.","None","None"
"Vespa velutinaApatura ilia","Vespa velutina","Apatura ilia","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaAphrophora salicina","Vespa velutina","Aphrophora salicina","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaApis mellifera","Vespa velutina","Apis mellifera","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaAraneus diadematus","Vespa velutina","Araneus diadematus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaAutographa gamma","Vespa velutina","Autographa gamma","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaBombus lapidarius","Vespa velutina","Bombus lapidarius","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaCampsis radicans","Vespa velutina","Campsis radicans","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Hamish Low. 2021. Vespa velutina interaction->visited flower of Campsis radicans. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/92830812> on 17 Nov 2021.","None","None"
"Vespa velutinaCervus elaphus","Vespa velutina","Cervus elaphus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaChaetopteryx villosa","Vespa velutina","Chaetopteryx villosa","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaCoenonympha pamphilus","Vespa velutina","Coenonympha pamphilus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaDicranopalpus ramosus","Vespa velutina","Dicranopalpus ramosus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaEmberiza cirlus","Vespa velutina","Emberiza cirlus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaEpisyrphus balteatus","Vespa velutina","Episyrphus balteatus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaEriobotrya japonica","Vespa velutina","Eriobotrya japonica","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2020. Vespa velutina interaction->visited flower of Eriobotrya japonica. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/64432313> on 17 Nov 2021.","None","None"
"Vespa velutinaEristalis tenax","Vespa velutina","Eristalis tenax","preysOn","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"Vespa velutinaEuonymus japonicus","Vespa velutina","Euonymus japonicus","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","null. 2021. Vespa velutina interaction->visited flower of Euonymus japonicus. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/85452872> on 17 Nov 2021.","None","None"
"Vespa velutinaEuphorbia characias","Vespa velutina","Euphorbia characias","visitsFlowersOf","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","afranco. 2020. Vespa velutina interaction->visited flower of Euphorbia characias. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/38748007> on 17 Nov 2021.","None","None"
