id,label,kingdom,gbifkey,occupancy,alien
Pernis apivorus,Pernis apivorus,Animalia,2480420,9528,False
Gallus gallus,Gallus gallus,Animalia,9326020,346,True
Vespa velutina,Vespa velutina,Animalia,1311477,376,True
Apis mellifera,Apis mellifera,Animalia,1341976,7053,False
Vulpes vulpes,Vulpes vulpes,Animalia,5219243,43,False
Salmonella enterica,Salmonella enterica,Bacteria,9701185,7,False
Buteo jamaicensis,Buteo jamaicensis,Animalia,2480542,9,True
Haliaeetus leucocephalus,Haliaeetus leucocephalus,Animalia,2480446,13,True
Turdus pilaris,Turdus pilaris,Animalia,2490737,12436,False
Garrulus glandarius,Garrulus glandarius,Animalia,5229493,13566,False
Fringilla coelebs,Fringilla coelebs,Animalia,2494422,15535,False
Turdus merula,Turdus merula,Animalia,2490719,15453,False
Erithacus rubecula,Erithacus rubecula,Animalia,2492462,14444,False
Carabus nemoralis,Carabus nemoralis,Animalia,8056040,11,False
Xysticus acerbus,Xysticus acerbus,Animalia,2165222,27,False
Trochosa ruricola,Trochosa ruricola,Animalia,2145852,592,False
Xysticus ulmi,Xysticus ulmi,Animalia,2165228,149,False
Pisaura mirabilis,Pisaura mirabilis,Animalia,2150764,295,False
Tibellus oblongus,Tibellus oblongus,Animalia,9805173,40,False
Trochosa terricola,Trochosa terricola,Animalia,2145815,1578,False
Pterostichus melanarius,Pterostichus melanarius,Animalia,7856746,13,False
Poecilus versicolor,Poecilus versicolor,Animalia,5753720,9,False
Nebria brevicollis,Nebria brevicollis,Animalia,1035578,12,False
Agalenatea redii,Agalenatea redii,Animalia,2160943,12,False
Parus major,Parus major,Animalia,9705453,15012,False
Locustella naevia,Locustella naevia,Animalia,2493548,5511,False
Larinioides cornutus,Larinioides cornutus,Animalia,2159204,96,False
Falco subbuteo,Falco subbuteo,Animalia,2481035,10608,False
Vespula germanica,Vespula germanica,Animalia,1311649,955,False
Alydus calcaratus,Alydus calcaratus,Animalia,2050173,46,False
Sphaerophoria scripta,Sphaerophoria scripta,Animalia,1539177,15,False
Volucella pellucens,Volucella pellucens,Animalia,1541799,10,False
Volucella zonaria,Volucella zonaria,Animalia,1541832,95,False
Helophilus pendulus,Helophilus pendulus,Animalia,5071352,16,False
Syritta pipiens,Syritta pipiens,Animalia,1544431,8,False
Episyrphus balteatus,Episyrphus balteatus,Animalia,1536449,40,False
Polygonia c-album,Polygonia c-album,Animalia,1898544,12928,False
Osmia caerulescens,Osmia caerulescens,Animalia,5039096,827,False
Bombus jonellus,Bombus jonellus,Animalia,1340308,333,False
Bombus pascuorum,Bombus pascuorum,Animalia,1340405,11402,False
Nomada panzeri,Nomada panzeri,Animalia,1343704,868,False
Bombus terrestris,Bombus terrestris,Animalia,1340503,7250,False
Sphecodes puncticeps,Sphecodes puncticeps,Animalia,1351481,47,False
Nomada ruficornis,Nomada ruficornis,Animalia,1343608,931,False
Bombus hypnorum,Bombus hypnorum,Animalia,1340513,5845,False
Hylaeus communis,Hylaeus communis,Animalia,1349795,709,False
Bombus lucorum,Bombus lucorum,Animalia,1340298,1340,False
Andrena praecox,Andrena praecox,Animalia,1357456,418,False
Andrena haemorrhoa,Andrena haemorrhoa,Animalia,1356981,3891,False
Andrena fulva,Andrena fulva,Animalia,9805254,2892,False
Andrena dorsata,Andrena dorsata,Animalia,1357872,1239,False
Andrena subopaca,Andrena subopaca,Animalia,1357479,238,False
Andrena nitida,Andrena nitida,Animalia,1357545,1450,False
Andrena carantonica,Andrena carantonica,Animalia,1357950,747,False
Papilio machaon,Papilio machaon,Animalia,8225376,8975,False
Stenurella melanura,Stenurella melanura,Animalia,8583922,137,False
Rutpela maculata,Rutpela maculata,Animalia,10480031,138,False
Tenthredo amoena,Tenthredo amoena,Animalia,4490521,81,False
Oxythyrea funesta,Oxythyrea funesta,Animalia,1077130,18,False
Tachina fera,Tachina fera,Animalia,5978844,8,False
Orgyia antiqua,Orgyia antiqua,Animalia,1819873,8,False
Rhagonycha fulva,Rhagonycha fulva,Animalia,4429760,23,False
Aphantopus hyperantus,Aphantopus hyperantus,Animalia,1896841,5616,False
Stenotus binotatus,Stenotus binotatus,Animalia,2008880,302,False
Byturus ochraceus,Byturus ochraceus,Animalia,4452084,6,False
Angelica sylvestris,Angelica sylvestris,Plantae,5371818,5831,False
Apatura ilia,Apatura ilia,Animalia,8138711,22,False
Tibellus maritimus,Tibellus maritimus,Animalia,2147916,20,False
Emberiza schoeniclus,Emberiza schoeniclus,Animalia,2491557,11548,False
Philanthus triangulum,Philanthus triangulum,Animalia,5760758,925,False
Dufouriellus ater,Dufouriellus ater,Animalia,2020782,6,False
Vespa crabro,Vespa crabro,Animalia,1311527,6661,False
Misumena vatia,Misumena vatia,Animalia,2165951,56,False
Araneus diadematus,Araneus diadematus,Animalia,2160133,216,False
Synema globosum,Synema globosum,Animalia,5171516,396,False
Salvia rosmarinus,Salvia rosmarinus,Plantae,3889108,65,False
Sonchus oleraceus,Sonchus oleraceus,Plantae,8228544,5927,False
Phylloscopus collybita,Phylloscopus collybita,Animalia,2493091,15027,False
Tettigonia viridissima,Tettigonia viridissima,Animalia,1692898,8347,False
Mantis religiosa,Mantis religiosa,Animalia,6258028,13,False
Lithobates catesbeianus,Lithobates catesbeianus,Animalia,2427091,148,True
Vespula vulgaris,Vespula vulgaris,Animalia,1311671,2437,False
Gryllodes sigillatus,Gryllodes sigillatus,Animalia,1722299,16,True
Symphyotrichum novae-angliae,Symphyotrichum novae-angliae,Plantae,3151618,14,True
Trifolium repens,Trifolium repens,Plantae,5358748,8349,False
Sonchus tenerrimus,Sonchus tenerrimus,Plantae,3105768,8,True
Scabiosa ochroleuca,Scabiosa ochroleuca,Plantae,2888806,6,True
Daucus carota,Daucus carota,Plantae,3034742,6756,False
Felis catus,Felis catus,Animalia,2435035,2370,True
Mustela putorius,Mustela putorius,Animalia,5218911,61,False
Martes martes,Martes martes,Animalia,5218878,8,False
Martes foina,Martes foina,Animalia,5218887,21,False
Felis silvestris,Felis silvestris,Animalia,7964291,9,False
Polistes dominula,Polistes dominula,Animalia,5871389,3554,False
Diplazon laetatorius,Diplazon laetatorius,Animalia,5025857,60,False
Gomphus vulgatissimus,Gomphus vulgatissimus,Animalia,5051951,6,False
Euplectrus bicolor,Euplectrus bicolor,Animalia,1385950,8,False
