"","id","source","target","interaction","citation","doi","reference","referenceDOI","referenceURL"
"1","Pernis apivorusVespa velutina","Pernis apivorus","Vespa velutina","preysOn","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Monceau K, Bonnard O, Thiery D. 2014. Vespa velutina: a new invasive predator of honeybees in Europe. Journal of Pest Science 87: 1-16. doi:10.1007/s10340-013-0537-3","10.1007/s10340-013-0537-3","None"
"2","Pernis apivorusApis mellifera","Pernis apivorus","Apis mellifera","eats","Species Connect. https://speciesconnect.com","None","watch a honeybee buzzard eating from a honeycomb! shared by @Darmzotten","None","None"
"3","Pernis apivorusSylvia atricapilla","Pernis apivorus","Sylvia atricapilla","eats","Groom, Q.J., Maarten De Groot, M. & Marciulyniene, D. (2020) Species interation data manually extracted from literature for species .","None","10.1111/j.1474-919X.2009.00907.x","10.1111/j.1474-919X.2009.00907.x","None"
"4","Pernis apivorusTurdus philomelos","Pernis apivorus","Turdus philomelos","preysOn","Sarah E Miller. 3/4/2015. Species associations manually extracted from http://onlinelibrary.wiley.com/doi/10.1111/j.1474-919X.2009.00907.x/suppinfo.","10.5281/zenodo.258188","WEIDINGER, K. (2009), Nest predators of woodland open-nesting songbirds in central Europe. Ibis, 151: 352–360. doi: 10.1111/j.1474-919X.2009.00907.x","10.1111/j.1474-919X.2009.00907.x","None"
"5","Gallus gallusVespa velutina","Gallus gallus","Vespa velutina","preysOn","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Monceau K, Bonnard O, Thiery D. 2014. Vespa velutina: a new invasive predator of honeybees in Europe. Journal of Pest Science 87: 1-16. doi:10.1007/s10340-013-0537-3","10.1007/s10340-013-0537-3","None"
"6","Gallus gallusSalamandra salamandra","Gallus gallus","Salamandra salamandra","preysOn","Sarah E Miller. 4/16/2015. Species associations manually extracted from Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.","10.5281/zenodo.258194","Cook, W. E. Amphibians and Reptiles: Predators and Prey. Amphibians and Birds. Smithsonian Herpetological Information Service: 1-15.","None","None"
"7","Vespa velutinaAgalenatea redii","Vespa velutina","Agalenatea redii","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"8","Vespa velutinaAgrotis exclamationis","Vespa velutina","Agrotis exclamationis","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"9","Vespa velutinaAlydus calcaratus","Vespa velutina","Alydus calcaratus","eats","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","10.5281/zenodo.5501763","Rome Q, Perrard A, Muller F, Fontaine C, Quilès A, Zuccon D, Villemant C. 2021. Not just honeybees: predatory habits of Vespa velutina (Hymenoptera: Vespidae) in France. Annales De La Societe Entomologique De France 57: 1-11. doi:10.1080/00379271.2020.1867005","10.1080/00379271.2020.1867005","None"
"10","Vespa velutinaAngelica sylvestris","Vespa velutina","Angelica sylvestris","visits","http://iNaturalist.org is a place where you can record what you see in nature, meet other nature lovers, and learn about the natural world.","None","Pedro Moreira. 2021. Vespa velutina name of associated plant Angelica sylvestris. iNaturalist.org. Accessed at <https://www.inaturalist.org/observations/90804667> on 17 Nov 2021.","None","None"
