;id;label_alien;label_threatened;Label_Natura2000;kingdom;gbifkey;occupancy;alien;Natura2000;RedList;Threatened
455;Felis silvestris;;Felis silvestris;Felis silvestris;Animalia;7964291;9;FALSE;TRUE;TRUE;TRUE
685;Martes martes;;Martes martes;Martes martes;Animalia;5218878;8;FALSE;TRUE;TRUE;TRUE
728;Mustela putorius;;Mustela putorius;Mustela putorius;Animalia;5218911;61;FALSE;TRUE;TRUE;TRUE
1024;Salmo salar;;Salmo salar;Salmo salar;Animalia;7595433;9;FALSE;TRUE;TRUE;TRUE
218;Canis lupus;;;Canis lupus;Animalia;5219173;14;FALSE;TRUE;TRUE;FALSE
441;Euphydryas aurinia;;;Euphydryas aurinia;Animalia;4535809;16;FALSE;TRUE;TRUE;FALSE
736;Myotis daubentonii;;;Myotis daubentonii;Animalia;2432439;6;FALSE;TRUE;TRUE;FALSE
737;Myotis nattereri;;;Myotis nattereri;Animalia;2432389;9;FALSE;TRUE;TRUE;FALSE
889;Pipistrellus pipistrellus;;;Pipistrellus pipistrellus;Animalia;5218465;14;FALSE;TRUE;TRUE;FALSE
903;Plecotus auritus;;;Plecotus auritus;Animalia;5218507;6;FALSE;TRUE;TRUE;FALSE
1;Abies alba;Abies alba;;;Plantae;2685484;62;TRUE;FALSE;FALSE;FALSE
3;Acanthus mollis;Acanthus mollis;;;Plantae;5415455;14;TRUE;FALSE;FALSE;FALSE
11;Acridotheres tristis;Acridotheres tristis;;;Animalia;2489005;10;TRUE;FALSE;TRUE;FALSE
20;Aesculus hippocastanum;Aesculus hippocastanum;;;Plantae;3189815;1857;TRUE;FALSE;FALSE;FALSE
31;Ailanthus altissima;Ailanthus altissima;;;Plantae;3190653;576;TRUE;FALSE;FALSE;FALSE
33;Alcea rosea;Alcea rosea;;;Plantae;5406789;407;TRUE;FALSE;FALSE;FALSE
34;Alectoris rufa;Alectoris rufa;;;Animalia;2474051;109;TRUE;FALSE;FALSE;FALSE
38;Allium cepa;Allium cepa;;;Plantae;2857697;16;TRUE;FALSE;FALSE;FALSE
39;Allium schoenoprasum;Allium schoenoprasum;;;Plantae;2855860;256;TRUE;FALSE;FALSE;FALSE
44;Alnus incana;Alnus incana;;;Plantae;9148577;1529;TRUE;FALSE;FALSE;FALSE
51;Ambrosia artemisiifolia;Ambrosia artemisiifolia;;;Plantae;8002952;594;TRUE;FALSE;FALSE;FALSE
52;Ambrosia trifida;Ambrosia trifida;;;Plantae;3110588;14;TRUE;FALSE;FALSE;FALSE
53;Amorpha fruticosa;Amorpha fruticosa;;;Plantae;5357407;22;TRUE;FALSE;FALSE;FALSE
55;Anaphalis margaritacea;Anaphalis margaritacea;;;Plantae;4926336;12;TRUE;FALSE;FALSE;FALSE
96;Anemone coronaria;Anemone coronaria;;;Plantae;3033261;9;TRUE;FALSE;FALSE;FALSE
98;Anethum graveolens;Anethum graveolens;;;Plantae;3034646;85;TRUE;FALSE;FALSE;FALSE
102;Anoda cristata;Anoda cristata;;;Plantae;3152493;12;TRUE;FALSE;FALSE;FALSE
112;Antirrhinum majus;Antirrhinum majus;;;Plantae;3172001;275;TRUE;FALSE;FALSE;FALSE
128;Arctotheca calendula;Arctotheca calendula;;;Plantae;3114986;10;TRUE;FALSE;FALSE;FALSE
135;Armoracia rusticana;Armoracia rusticana;;;Plantae;3041022;483;TRUE;FALSE;FALSE;FALSE
138;Asclepias syriaca;Asclepias syriaca;;;Plantae;3170247;17;TRUE;FALSE;FALSE;FALSE
140;Aster ageratoides;Aster ageratoides;;;Plantae;5387639;6;TRUE;FALSE;FALSE;FALSE
146;Aubrieta deltoidea;Aubrieta deltoidea;;;Plantae;3054117;21;TRUE;FALSE;FALSE;FALSE
149;Aurinia saxatilis;Aurinia saxatilis;;;Plantae;5377778;26;TRUE;FALSE;FALSE;FALSE
151;Baccharis halimifolia;Baccharis halimifolia;;;Plantae;3129663;110;TRUE;FALSE;FALSE;FALSE
157;Berberis thunbergii;Berberis thunbergii;;;Plantae;3033896;70;TRUE;FALSE;FALSE;FALSE
158;Bergenia crassifolia;Bergenia crassifolia;;;Plantae;5567694;22;TRUE;FALSE;FALSE;FALSE
159;Berteroa incana;Berteroa incana;;;Plantae;3053522;901;TRUE;FALSE;FALSE;FALSE
163;Bidens frondosa;Bidens frondosa;;;Plantae;5392174;2247;TRUE;FALSE;FALSE;FALSE
164;Bidens pilosa;Bidens pilosa;;;Plantae;5391845;8;TRUE;FALSE;FALSE;FALSE
178;Borago officinalis;Borago officinalis;;;Plantae;2926110;712;TRUE;FALSE;FALSE;FALSE
182;Brassica juncea;Brassica juncea;;;Plantae;3042751;71;TRUE;FALSE;FALSE;FALSE
183;Brassica napus;Brassica napus;;;Plantae;3042636;1355;TRUE;FALSE;FALSE;FALSE
185;Brassica oleracea;Brassica oleracea;;;Plantae;3042845;202;TRUE;FALSE;FALSE;FALSE
186;Brassica rapa;Brassica rapa;;;Plantae;7903057;973;TRUE;FALSE;FALSE;FALSE
189;Buddleja davidii;Buddleja davidii;;;Plantae;3173338;3548;TRUE;FALSE;FALSE;FALSE
191;Buteo jamaicensis;Buteo jamaicensis;;;Animalia;2480542;9;TRUE;FALSE;FALSE;FALSE
196;Calendula officinalis;Calendula officinalis;;;Plantae;5391480;411;TRUE;FALSE;FALSE;FALSE
198;Callosciurus erythraeus;Callosciurus erythraeus;;;Animalia;2437394;9;TRUE;FALSE;TRUE;FALSE
208;Campanula latifolia;Campanula latifolia;;;Plantae;5411408;9;TRUE;FALSE;FALSE;FALSE
210;Campanula poscharskyana;Campanula poscharskyana;;;Plantae;5410151;120;TRUE;FALSE;FALSE;FALSE
221;Capsicum annuum;Capsicum annuum;;;Plantae;2932944;8;TRUE;FALSE;FALSE;FALSE
226;Carduus acanthoides;Carduus acanthoides;;;Plantae;3114643;105;TRUE;FALSE;FALSE;FALSE
229;Carduus pycnocephalus;Carduus pycnocephalus;;;Plantae;3114667;7;TRUE;FALSE;FALSE;FALSE
235;Castanea sativa;Castanea sativa;;;Plantae;5333294;3841;TRUE;FALSE;FALSE;FALSE
245;Centaurea stoebe;Centaurea stoebe;;;Plantae;3127727;9;TRUE;FALSE;FALSE;FALSE
247;Centranthus ruber;Centranthus ruber;;;Plantae;2888740;568;TRUE;FALSE;FALSE;FALSE
254;Chaenomeles japonica;Chaenomeles japonica;;;Plantae;3000610;78;TRUE;FALSE;FALSE;FALSE
264;Chondrilla juncea;Chondrilla juncea;;;Plantae;8537667;18;TRUE;FALSE;FALSE;FALSE
280;Citrullus lanatus;Citrullus lanatus;;;Plantae;2874621;20;TRUE;FALSE;FALSE;FALSE
282;Clethra alnifolia;Clethra alnifolia;;;Plantae;2888323;8;TRUE;FALSE;FALSE;FALSE
300;Columba livia;Columba livia;;;Animalia;2495414;5170;TRUE;FALSE;FALSE;FALSE
303;Colutea arborescens;Colutea arborescens;;;Plantae;7844167;126;TRUE;FALSE;FALSE;FALSE
309;Coreopsis lanceolata;Coreopsis lanceolata;;;Plantae;3133938;25;TRUE;FALSE;FALSE;FALSE
310;Coreopsis tinctoria;Coreopsis tinctoria;;;Plantae;3133950;36;TRUE;FALSE;FALSE;FALSE
311;Coreopsis verticillata;Coreopsis verticillata;;;Plantae;3133887;7;TRUE;FALSE;FALSE;FALSE
312;Coriandrum sativum;Coriandrum sativum;;;Plantae;3034871;67;TRUE;FALSE;FALSE;FALSE
316;Cornus sericea;Cornus sericea;;;Plantae;3082244;589;TRUE;FALSE;FALSE;FALSE
317;Cortaderia selloana;Cortaderia selloana;;;Plantae;2704523;54;TRUE;FALSE;FALSE;FALSE
323;Cosmos bipinnatus;Cosmos bipinnatus;;;Plantae;3098912;98;TRUE;FALSE;FALSE;FALSE
324;Cotoneaster bullatus;Cotoneaster bullatus;;;Plantae;3026294;76;TRUE;FALSE;FALSE;FALSE
325;Cotoneaster horizontalis;Cotoneaster horizontalis;;;Plantae;3025617;985;TRUE;FALSE;FALSE;FALSE
326;Cotoneaster simonsii;Cotoneaster simonsii;;;Plantae;3026107;57;TRUE;FALSE;FALSE;FALSE
331;Crepis tectorum;Crepis tectorum;;;Plantae;5403508;31;TRUE;FALSE;FALSE;FALSE
335;Crocus chrysanthus;Crocus chrysanthus;;;Plantae;2747489;6;TRUE;FALSE;FALSE;FALSE
336;Crocus tommasinianus;Crocus tommasinianus;;;Plantae;2747564;119;TRUE;FALSE;FALSE;FALSE
337;Crocus vernus;Crocus vernus;;;Plantae;2747567;59;TRUE;FALSE;FALSE;FALSE
340;Cucumis sativus;Cucumis sativus;;;Plantae;2874569;7;TRUE;FALSE;FALSE;FALSE
341;Cucurbita maxima;Cucurbita maxima;;;Plantae;2874515;17;TRUE;FALSE;FALSE;FALSE
342;Cucurbita pepo;Cucurbita pepo;;;Plantae;2874508;95;TRUE;FALSE;FALSE;FALSE
346;Cyanopica cooki;Cyanopica cooki;;;Animalia;5844936;6;TRUE;FALSE;FALSE;FALSE
349;Cynara cardunculus;Cynara cardunculus;;;Plantae;3112364;8;TRUE;FALSE;FALSE;FALSE
353;Cynodon dactylon;Cynodon dactylon;;;Plantae;6109637;180;TRUE;FALSE;FALSE;FALSE
354;Cynoglossum amabile;Cynoglossum amabile;;;Plantae;2925816;14;TRUE;FALSE;FALSE;FALSE
