providedCol0;providedCol1;providedCol2;providedExternalId;providedName;providedCol5;providedCol6;providedCol7;providedCol8;providedCol9;providedCol10;providedCol11;relationName;resolvedExternalId;resolvedName;resolvedRank;resolvedCommonNames;resolvedPath;resolvedPathIds;resolvedPathNames;resolvedExternalUrl;resolvedThumbnailUrl
providedExternalId;providedName;relationName;resolvedExternalId;resolvedName;resolvedRank;resolvedCommonNames;resolvedPath;resolvedPathIds;resolvedPathNames;resolvedExternalUrl;resolvedThumbnailUrl;NONE;resolvedExternalId;resolvedName;;;;;;;
;Acanthoscelides pallidipennis (Motschulsky, 1874);SAME_AS;;Acanthoscelides pallidipennis;;;;;;;;NONE;;Acanthoscelides pallidipennis;;;;;;;
;Acer negundo L.;SAME_AS;;Acer negundo;;;;;;;;HAS_ACCEPTED_NAME;COL:94F5;Acer negundo;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Sapindales | Sapindaceae | Hippocastanoideae | Acer | Acer negundo;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:3ZY | COL:FY3 | COL:JP8 | COL:MLD | COL:94F5;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Acer pseudoplatanus L.;SAME_AS;;Acer pseudoplatanus;;;;;;;;HAS_ACCEPTED_NAME;COL:94HF;Acer pseudoplatanus;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Sapindales | Sapindaceae | Hippocastanoideae | Acer | Acer pseudoplatanus;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:3ZY | COL:FY3 | COL:JP8 | COL:MLD | COL:94HF;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Achillea roseoalba Ehrend.;SAME_AS;;Achillea roseoalba;;;;;;;;HAS_ACCEPTED_NAME;COL:97KG;Achillea roseoalba;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Asterales | Asteraceae | Asteroideae | Achillea | Achillea roseoalba;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:ST | COL:622TP | COL:J6T | COL:MRG | COL:97KG;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Acorus calamus L.;SAME_AS;;Acorus calamus;;;;;;;;HAS_ACCEPTED_NAME;COL:64MF2;Acorus calamus;species;;Biota | Plantae | Tracheophyta | Liliopsida | Acorales | Acoraceae | Acorus | Acorus calamus;COL:5T6MX | COL:P | COL:TP | COL:L2L | COL:62282 | COL:5XZ | COL:N6V | COL:64MF2;unranked | kingdom | phylum | class | order | family | genus | species;;
;Adelges cooleyi (Gillette, 1907);SAME_AS;;Adelges cooleyi;;;;;;;;SYNONYM_OF;COL:64QZK;Adelges (Gilletteella) cooleyi;species;;Biota | Animalia | Arthropoda | Insecta | Hemiptera | Aphidomorpha | Adelgoidea | Adelgidae | Adelges | Adelges (Gilletteella) | Adelges (Gilletteella) cooleyi;COL:5T6MX | COL:N | COL:RT | COL:H6 | COL:HP | COL:8PRTX | COL:8NKG3 | COL:8NKGV | COL:8NLJQ | COL:8R2Z5 | COL:64QZK;unranked | kingdom | phylum | class | order | infraorder | superfamily | family | genus | subgenus | species;;
;Adelges nordmannianae (Eckstein, 1890);SAME_AS;;Adelges nordmannianae;;;;;;;;SYNONYM_OF;COL:9XK4;Adelges (Dreyfusia) nordmannianae;species;;Biota | Animalia | Arthropoda | Insecta | Hemiptera | Aphidomorpha | Adelgoidea | Adelgidae | Adelges | Adelges (Dreyfusia) | Adelges (Dreyfusia) nordmannianae;COL:5T6MX | COL:N | COL:RT | COL:H6 | COL:HP | COL:8PRTX | COL:8NKG3 | COL:8NKGV | COL:8NLJQ | COL:8R2PB | COL:9XK4;unranked | kingdom | phylum | class | order | infraorder | superfamily | family | genus | subgenus | species;;
;Adonis annua L.;SAME_AS;;Adonis annua;;;;;;;;HAS_ACCEPTED_NAME;COL:654KB;Adonis annua;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Ranunculales | Ranunculaceae | Ranunculoideae | Adonis | Adonis annua;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:3XS | COL:FJR | COL:K95 | COL:PCG | COL:654KB;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Aedes albopictus Skuse, 1894;SAME_AS;;Aedes albopictus;;;;;;;;NONE;;Aedes albopictus;;;;;;;
;Aesculus hippocastanum L.;SAME_AS;;Aesculus hippocastanum;;;;;;;;HAS_ACCEPTED_NAME;COL:65BKZ;Aesculus hippocastanum;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Sapindales | Sapindaceae | Hippocastanoideae | Aesculus | Aesculus hippocastanum;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:3ZY | COL:FY3 | COL:JP8 | COL:PTB | COL:65BKZ;unranked | kingdom | phylum | class | order | family | subfamily | genus | species;;
;Agetus flaccus (Giesbrecht, 1891);SAME_AS;;Agetus flaccus;;;;;;;;HAS_ACCEPTED_NAME;COL:65RJW;Agetus flaccus;species;;Biota | Animalia | Arthropoda | Hexanauplia | Copepoda | Neocopepoda | Podoplea | Cyclopoida | Ergasilida | Corycaeidae | Agetus | Agetus flaccus;COL:5T6MX | COL:N | COL:RT | COL:CG | COL:7NF55 | COL:7NF5S | COL:7NF5Z | COL:7NF98 | COL:7ZFNJ | COL:7NGY7 | COL:7NN9Y | COL:65RJW;unranked | kingdom | phylum | class | subclass | infraclass | superorder | order | suborder | family | genus | species;;
;Agetus typicus KrÃ¸yer, 1849;SAME_AS;;Agetus typicus;;;;;;;;HAS_ACCEPTED_NAME;COL:663JW;Agetus typicus;species;;Biota | Animalia | Arthropoda | Hexanauplia | Copepoda | Neocopepoda | Podoplea | Cyclopoida | Ergasilida | Corycaeidae | Agetus | Agetus typicus;COL:5T6MX | COL:N | COL:RT | COL:CG | COL:7NF55 | COL:7NF5S | COL:7NF5Z | COL:7NF98 | COL:7ZFNJ | COL:7NGY7 | COL:7NN9Y | COL:663JW;unranked | kingdom | phylum | class | subclass | infraclass | superorder | order | suborder | family | genus | species;;
;Agropogon littoralis (Smith) C.E.Hubbard;SAME_AS;;Agropogon littoralis;;;;;;;;SYNONYM_OF;COL:B8S8;Agropogon lutosus;species;;Biota | Plantae | Tracheophyta | Liliopsida | Poales | Poaceae | Agropogon | Agropogon lutosus;COL:5T6MX | COL:P | COL:TP | COL:L2L | COL:627VM | COL:627FW | COL:QZX | COL:B8S8;unranked | kingdom | phylum | class | order | family | genus | species;;
;Agrostemma githago L.;SAME_AS;;Agrostemma githago;;;;;;;;HAS_ACCEPTED_NAME;COL:B99P;Agrostemma githago;species;;Biota | Plantae | Tracheophyta | Magnoliopsida | Caryophyllales | Caryophyllaceae | Agrostemma | Agrostemma githago;COL:5T6MX | COL:P | COL:TP | COL:MG | COL:VW | COL:7RZ | COL:R25 | COL:B99P;unranked | kingdom | phylum | class | order | family | genus | species;;
