id	locationID	countryCode	occurrenceStatus	establishmentMeans
86500	Romania	RO	Present	Alien
86501	Romania	RO	Present	Alien
86502	Romania	RO	Present	Alien
86503	Romania	RO	Present	Alien
86504	Romania	RO	Present	Alien
86505	Romania	RO	Present	Alien
86506	Romania	RO	Present	Alien
86507	Romania	RO	Present	Alien
86508	Romania	RO	Present	Alien
86509	Romania	RO	Present	Alien
86510	Romania	RO	Present	Alien
86511	Romania	RO	Present	Alien
86512	Romania	RO	Present	Alien
86513	Romania	RO	Present	Alien
86514	Romania	RO	Present	Alien
86515	Romania	RO	Present	Alien
86516	Romania	RO	Present	Alien
86517	Romania	RO	Present	Alien
86518	Romania	RO	Present	Alien
86519	Romania	RO	Present	Alien
86520	Romania	RO	Present	Alien
86521	Romania	RO	Present	Alien
86522	Romania	RO	Present	Alien
86523	Romania	RO	Present	Alien
86524	Romania	RO	Present	Alien
86525	Romania	RO	Present	Alien
86526	Romania	RO	Present	Alien
86527	Romania	RO	Present	Alien
86528	Romania	RO	Present	Alien
86529	Romania	RO	Present	Alien
86530	Romania	RO	Present	Alien
86531	Romania	RO	Present	Alien
86532	Romania	RO	Present	Alien
86533	Romania	RO	Present	Alien
86534	Romania	RO	Present	Alien
86535	Romania	RO	Present	Alien
86536	Romania	RO	Present	Alien
86537	Romania	RO	Present	Alien
86538	Romania	RO	Present	Alien
86539	Romania	RO	Present	Alien
86540	Romania	RO	Present	Alien
86541	Romania	RO	Present	Alien
86542	Romania	RO	Present	Alien
86543	Romania	RO	Present	Alien
86544	Romania	RO	Present	Alien
86545	Romania	RO	Present	Alien
86546	Romania	RO	Present	Alien
86547	Romania	RO	Present	Alien
86548	Romania	RO	Present	Alien
86549	Romania	RO	Present	Alien
86550	Romania	RO	Present	Alien
86551	Romania	RO	Present	Alien
86552	Romania	RO	Present	Alien
86553	Romania	RO	Present	Alien
86554	Romania	RO	Present	Alien
86555	Romania	RO	Present	Alien
86556	Romania	RO	Present	Alien
86557	Romania	RO	Present	Alien
86558	Romania	RO	Present	Alien
86559	Romania	RO	Present	Alien
86560	Romania	RO	Present	Alien
86561	Romania	RO	Present	Alien
86562	Romania	RO	Present	Alien
86563	Romania	RO	Present	Alien
86564	Romania	RO	Present	Alien
86565	Romania	RO	Present	Alien
86566	Romania	RO	Present	Alien
86567	Romania	RO	Present	Alien
86568	Romania	RO	Present	Alien
86569	Romania	RO	Present	Alien
86570	Romania	RO	Present	Alien
86571	Romania	RO	Present	Alien
86572	Romania	RO	Present	Alien
86573	Romania	RO	Present	Alien
86574	Romania	RO	Present	Alien
86575	Romania	RO	Present	Alien
86576	Romania	RO	Present	Alien
86577	Romania	RO	Present	Alien
86578	Romania	RO	Present	Alien
86579	Romania	RO	Present	Alien
86580	Romania	RO	Present	Alien
