id;taxonID;scientificName;acceptedNameUsage;kingdom;phylum;class;order;family;taxonRank;taxonomicStatus
86500;86500;Acanthoscelides obtectus (Say, 1831);;Animalia;Arthropoda;Insecta;Coleoptera;Chrysomelidae;SPECIES;ACCEPTED
86501;86501;Acanthoscelides pallidipennis (Motschulsky, 1874);Dactylispa pallidipennis (Motschulsky, 1861);Animalia;Arthropoda;Insecta;Coleoptera;Chrysomelidae;SPECIES;SYNONYM
86502;86502;Acer negundo L.;;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;SPECIES;ACCEPTED
86503;86503;Acer pseudoplatanus L.;;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;SPECIES;ACCEPTED
86504;86504;Achillea roseoalba Ehrend.;;Plantae;Tracheophyta;Magnoliopsida;Asterales;Asteraceae;SPECIES;ACCEPTED
86505;86505;Acorus calamus L.;;Plantae;Tracheophyta;Liliopsida;Acorales;Acoraceae;SPECIES;ACCEPTED
86506;86506;Adelges cooleyi (Gillette, 1907);;Animalia;Arthropoda;Insecta;Hemiptera;Adelgidae;SPECIES;ACCEPTED
86507;86507;Adelges nordmannianae (Eckstein, 1890);;Animalia;Arthropoda;Insecta;Hemiptera;Adelgidae;SPECIES;ACCEPTED
86508;86508;Adonis annua L.;;Plantae;Tracheophyta;Magnoliopsida;Ranunculales;Ranunculaceae;SPECIES;ACCEPTED
86509;86509;Aedes albopictus Skuse, 1894;;Animalia;Arthropoda;Insecta;Diptera;Culicidae;SPECIES;ACCEPTED
86510;86510;Aesculus hippocastanum L.;;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Sapindaceae;SPECIES;ACCEPTED
86511;86511;Agetus flaccus (Giesbrecht, 1891);;Animalia;Arthropoda;Hexanauplia;Cyclopoida;Corycaeidae;SPECIES;ACCEPTED
86512;86512;Agetus typicus KrÃ¸yer, 1849;;Animalia;Arthropoda;Hexanauplia;Cyclopoida;Corycaeidae;SPECIES;ACCEPTED
86513;86513;Agropogon littoralis (Smith) C.E.Hubbard;Agropogon lutosus (Poir.) P.Fourn.;Plantae;Tracheophyta;Liliopsida;Poales;Poaceae;SPECIES;SYNONYM
86514;86514;Agrostemma githago L.;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Caryophyllaceae;SPECIES;ACCEPTED
86515;86515;Ailanthus altissima Swingle;;Plantae;Tracheophyta;Magnoliopsida;Sapindales;Simaroubaceae;SPECIES;ACCEPTED
86516;86516;Alcea rosea L.;;Plantae;Tracheophyta;Magnoliopsida;Malvales;Malvaceae;SPECIES;ACCEPTED
86517;86517;Alkekengi officinarum Moench;;Plantae;Tracheophyta;Magnoliopsida;Solanales;Solanaceae;SPECIES;ACCEPTED
86518;86518;Alopochen aegyptiaca (Linnaeus, 1766);;Animalia;Chordata;Aves;Anseriformes;Anatidae;SPECIES;ACCEPTED
86519;86519;Amaranthus albus L.;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86520;86520;Amaranthus blitoides S.Watson;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86521;86521;Amaranthus blitum L.;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86522;86522;Amaranthus blitum subsp. blitum;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SUBSPECIES;ACCEPTED
86523;86523;Amaranthus budensis Priszter;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86524;86524;Amaranthus caudatus L.;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86525;86525;Amaranthus crispus (Lesp. & ThÃ©v.) N.Terracc.;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86526;86526;Amaranthus cruentus L.;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86527;86527;Amaranthus deflexus L.;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86528;86528;Amaranthus emarginatus Salzm. ex Uline & W.L.Bray;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86529;86529;Amaranthus graecizans L.;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86530;86530;Amaranthus hybridus L.;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86531;86531;Amaranthus hypochondriacus L.;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
86532;86532;Amaranthus palmeri S.Watson;;Plantae;Tracheophyta;Magnoliopsida;Caryophyllales;Amaranthaceae;SPECIES;ACCEPTED
