"source_taxon_name","source_taxon_path","source_taxon_path_ids","source_specimen_occurrence_id","source_specimen_institution_code","source_specimen_collection_code","source_specimen_catalog_number","source_specimen_life_stage_id","source_specimen_life_stage","source_specimen_physiological_state_id","source_specimen_physiological_state","source_specimen_body_part_id","source_specimen_body_part","source_specimen_sex_id","source_specimen_sex","source_specimen_basis_of_record","interaction_type","target_taxon_name","target_taxon_path","target_taxon_path_ids","target_specimen_occurrence_id","target_specimen_institution_code","target_specimen_collection_code","target_specimen_catalog_number","target_specimen_life_stage_id","target_specimen_life_stage","target_specimen_physiological_state_id","target_specimen_physiological_state","target_specimen_body_part_id","target_specimen_body_part","target_specimen_sex_id","target_specimen_sex","target_specimen_basis_of_record","latitude","longitude","event_date","study_citation","study_url","study_source_citation","study_source_archive_uri"
"Platanus hybrida","Plantae | Tracheophyta | Magnoliopsida | Proteales | Platanaceae | Platanus | Platanus hybrida","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:400 | GBIF:6693 | GBIF:3152811 | GBIF:3152814",,,,,,,,,,,,,,"hasHabitat","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","https://link.springer.com/content/pdf/10.1007/s10530-017-1658-z.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Quercus robur","Plantae | Tracheophyta | Magnoliopsida | Fagales | Fagaceae | Quercus | Quercus robur","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1354 | GBIF:4689 | GBIF:2877951 | GBIF:2878688",,,,,,,,,,,,,,"hasHabitat","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","https://link.springer.com/content/pdf/10.1007/s10530-017-1658-z.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Robinia pseudoacacia","Plantae | Tracheophyta | Magnoliopsida | Fabales | Fabaceae | Robinia | Robinia pseudoacacia","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1370 | GBIF:5386 | GBIF:2952066 | GBIF:5352251",,,,,,,,,,,,,,"hasHabitat","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","https://link.springer.com/content/pdf/10.1007/s10530-017-1658-z.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Pinus halepensis","Plantae | Tracheophyta | Pinopsida | Pinales | Pinaceae | Pinus | Pinus halepensis","GBIF:6 | GBIF:7707728 | GBIF:194 | GBIF:640 | GBIF:3925 | GBIF:2684241 | GBIF:5285604",,,,,,,,,,,,,,"hasHabitat","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","https://link.springer.com/content/pdf/10.1007/s10530-017-1658-z.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Cupressus sempervirens","Plantae | Tracheophyta | Pinopsida | Pinales | Cupressaceae | Cupressus | Cupressus sempervirens","GBIF:6 | GBIF:7707728 | GBIF:194 | GBIF:640 | GBIF:8144 | GBIF:10225588 | GBIF:2684030",,,,,,,,,,,,,,"hasHabitat","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","https://link.springer.com/content/pdf/10.1007/s10530-017-1658-z.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Quercus helferiana","Plantae | Tracheophyta | Magnoliopsida | Fagales | Fagaceae | Quercus | Quercus helferiana","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1354 | GBIF:4689 | GBIF:2877951 | GBIF:2879096",,,,,,,,,,,,,,"hasHabitat","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Leza M, Miranda MA, Colomar V. 2018. First detection of Vespa velutina nigrithorax (Hymenoptera: Vespidae) in the Balearic Islands (Western Mediterranean): a challenging study case. Biological Invasions 20: 1643-1649. doi:10.1007/s10530-017-1658-z","https://link.springer.com/content/pdf/10.1007/s10530-017-1658-z.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Apis mellifera","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Apis | Apis mellifera","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4334 | GBIF:7799978 | GBIF:1341976",,,,,,,,,,,,,,"preyedUponBy","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,44.79,-0.58,"2008-01-01T00:00:00Z","Monceau K, Maher N, Bonnard O, Thiéry D. 2013. Predation pressure dynamics study of the recently introduced honeybee killer Vespa velutina: Learning from the enemy. Apidologie 44: 209-221. doi:10.1007/s13592-012-0172-7","https://link.springer.com/content/pdf/10.1007/s13592-012-0172-7.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Apis mellifera","Animalia | Arthropoda | Insecta | Hymenoptera | Apidae | Apis | Apis mellifera","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4334 | GBIF:7799978 | GBIF:1341976",,,,,,,,,,,,,,"preyedUponBy","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,44.86,-0.48,"2008-01-01T00:00:00Z","Monceau K, Maher N, Bonnard O, Thiéry D. 2013. Predation pressure dynamics study of the recently introduced honeybee killer Vespa velutina: Learning from the enemy. Apidologie 44: 209-221. doi:10.1007/s13592-012-0172-7","https://link.springer.com/content/pdf/10.1007/s13592-012-0172-7.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Camellia","Plantae | Tracheophyta | Magnoliopsida | Ericales | Pentaphylacaceae | Camellia","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1353 | GBIF:4259202 | GBIF:10902383",,,,,,,,,,,,,,"flowersVisitedBy","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Monceau K, Bonnard O, Thiery D. 2014. Vespa velutina: a new invasive predator of honeybees in Europe. Journal of Pest Science 87: 1-16. doi:10.1007/s10340-013-0537-3","https://link.springer.com/content/pdf/10.1007/s10340-013-0537-3.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
"Populus","Plantae | Tracheophyta | Magnoliopsida | Malpighiales | Salicaceae | Populus |","GBIF:6 | GBIF:7707728 | GBIF:220 | GBIF:1414 | GBIF:6664 | GBIF:3040183 |",,,,,,,,,,,,,,"hasHabitat","Vespa velutina","Animalia | Arthropoda | Insecta | Hymenoptera | Vespidae | Vespa | Vespa velutina","GBIF:1 | GBIF:54 | GBIF:216 | GBIF:1457 | GBIF:4490 | GBIF:1311334 | GBIF:1311477",,,,,,,,,,,,,,,,,"Monceau K, Bonnard O, Thiery D. 2014. Vespa velutina: a new invasive predator of honeybees in Europe. Journal of Pest Science 87: 1-16. doi:10.1007/s10340-013-0537-3","https://link.springer.com/content/pdf/10.1007/s10340-013-0537-3.pdf","Cristina Preda and Quentin Groom. 2014. Species associations manually extracted from literature.","https://zenodo.org/record/5501763/files/qgroom/Vespa-velutina-v1.0.zip"
