"target_taxon","source_taxon_name","interaction_type","db","query","genus","family","order","class","phylum","kingdom"
"Vespa velutina","Quercus robur","hasHabitat","ncbi","Quercus robur","Quercus","Fagaceae","Fagales","Magnoliopsida","Streptophyta","Viridiplantae"
"Vespa velutina","Robinia pseudoacacia","hasHabitat","ncbi","Robinia pseudoacacia","Robinia","Fabaceae","Fabales","Magnoliopsida","Streptophyta","Viridiplantae"
"Vespa velutina","Pinus halepensis","hasHabitat","ncbi","Pinus halepensis","Pinus","Pinaceae","Pinales","Pinopsida","Streptophyta","Viridiplantae"
"Vespa velutina","Cupressus sempervirens","hasHabitat","ncbi","Cupressus sempervirens","Cupressus","Cupressaceae","Cupressales","Pinopsida","Streptophyta","Viridiplantae"
"Vespa velutina","Quercus helferiana","hasHabitat","ncbi","Quercus helferiana","Quercus","Fagaceae","Fagales","Magnoliopsida","Streptophyta","Viridiplantae"
"Vespa velutina","Apis mellifera","preyedUponBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis mellifera","preyedUponBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Camellia","flowersVisitedBy","ncbi","Camellia","Camellia","Theaceae","Ericales","Magnoliopsida","Streptophyta","Viridiplantae"
"Vespa velutina","Populus","hasHabitat","ncbi","Populus","Populus","Salicaceae","Malpighiales","Magnoliopsida","Streptophyta","Viridiplantae"
"Vespa velutina","Hedera maderensis","flowersVisitedBy","ncbi","Hedera maderensis","Hedera","Araliaceae","Apiales","Magnoliopsida","Streptophyta","Viridiplantae"
"Vespa velutina","Gallus gallus","preysOn","ncbi","Gallus gallus","Gallus","Phasianidae","Galliformes","Aves","Chordata","Metazoa"
"Vespa velutina","Pernis apivorus","preysOn","ncbi","Pernis apivorus","Pernis","Accipitridae","Accipitriformes","Aves","Chordata","Metazoa"
"Vespa velutina","Vitis vinifera","flowersVisitedBy","ncbi","Vitis vinifera","Vitis","Vitaceae","Vitales","Magnoliopsida","Streptophyta","Viridiplantae"
"Vespa velutina","Apis mellifera","eatenBy","ncbi","Apis mellifera","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Varroa destructor","hasHost","ncbi","Varroa destructor","Varroa","Varroidae","Mesostigmata","Arachnida","Arthropoda","Metazoa"
"Vespa velutina","Israeli acute paralysis virus","hasHost","ncbi","Israeli acute paralysis virus","Aparavirus","Dicistroviridae","Picornavirales","Pisoniviricetes","Pisuviricota","Orthornavirae"
"Vespa velutina","Hymenoptera","interactsWith","ncbi","Hymenoptera",NA,NA,"Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Hymenoptera","interactsWith","ncbi","Hymenoptera",NA,NA,"Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Pheromermis","hasHost","ncbi","Pheromermis","Pheromermis","Mermithidae","Mermithida","Enoplea","Nematoda","Metazoa"
"Vespa velutina","Pheromermis","hasHost","ncbi","Pheromermis","Pheromermis","Mermithidae","Mermithida","Enoplea","Nematoda","Metazoa"
"Vespa velutina","Trichoptera","preyedUponBy","ncbi","Trichoptera",NA,NA,"Trichoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Chrysomya albiceps","eatenBy","ncbi","Chrysomya albiceps","Chrysomya","Calliphoridae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Rheocricotopus robacki","eatenBy","ncbi","Rheocricotopus robacki","Rheocricotopus","Chironomidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Bombus","eatenBy","ncbi","Bombus","Bombus","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Scathophaga","eatenBy","ncbi","Scathophaga","Scathophaga","Scathophagidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Polistes","eatenBy","ncbi","Polistes","Polistes","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Apis","eatenBy","ncbi","Apis","Apis","Apidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Eristalis","eatenBy","ncbi","Eristalis","Eristalis","Syrphidae","Diptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Lygaeidae","eatenBy","ncbi","Lygaeidae",NA,"Lygaeidae","Hemiptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Vespula germanica","eatenBy","ncbi","Vespula germanica","Vespula","Vespidae","Hymenoptera","Insecta","Arthropoda","Metazoa"
"Vespa velutina","Peleteria setosa","eatenBy","ncbi","Peleteria setosa","Peleteria","Tachinidae","Diptera","Insecta","Arthropoda","Metazoa"
